hotel_pricing_id,city_id,hotel_type,price_per_night_inr,trust_score,scam_markup_pct,timestamp
33,11,Luxury,19408,78.3,4.8,2026-02-11 17:46:59
34,12,Budget,1323,66.9,14.2,2025-08-07 12:19:10
35,12,Mid-range,3921,68.4,20.6,2025-12-26 06:14:47
36,12,Luxury,22473,51.5,49.4,2026-05-20 04:06:12
37,13,Budget,1925,54.0,50.9,2026-06-12 20:05:00
38,13,Mid-range,4234,72.7,17.7,2025-05-01 21:52:57
39,13,Luxury,17587,74.7,7.2,2026-03-20 14:39:53
40,14,Budget,1864,63.8,34.3,2026-06-18 17:48:51
41,14,Mid-range,4581,53.1,38.7,2026-03-08 08:08:31
42,14,Luxury,20618,73.1,9.1,2025-02-22 22:14:06
43,15,Budget,1908,82.6,1.9,2026-04-27 15:52:34
44,15,Mid-range,5492,47.0,40.4,2026-01-16 14:14:22
45,15,Luxury,17493,76.5,12.7,2026-05-15 05:57:41
46,16,Budget,927,72.1,23.2,2026-03-13 19:54:32
47,16,Mid-range,2945,79.4,9.3,2025-10-20 14:02:03
48,16,Luxury,15352,38.1,38.4,2025-03-21 22:56:45
49,17,Budget,1277,60.5,38.1,2025-05-06 16:37:50
50,17,Mid-range,2365,80.1,5.6,2025-12-19 05:53:50
51,17,Luxury,22939,85.5,0,2025-12-03 09:12:11
52,18,Budget,1929,70.5,24.6,2025-02-13 19:10:25
53,18,Mid-range,2509,79.2,6.7,2025-02-12 14:43:01
54,18,Luxury,12814,75.3,6.2,2025-11-28 22:35:03
55,19,Budget,1756,60.6,35.0,2025-09-07 06:13:54
56,19,Mid-range,2688,76.7,7.3,2025-06-08 02:36:32
57,19,Luxury,6403,90.1,0,2025-04-30 03:42:32
58,20,Budget,1511,75.9,15.4,2025-06-22 18:51:02
59,20,Mid-range,3716,77.2,13.1,2025-11-06 03:06:16
60,20,Luxury,12087,60.0,27.1,2026-05-14 17:45:02
61,21,Budget,641,60.4,34.6,2025-07-10 05:35:24
62,21,Mid-range,3415,91.5,0,2026-01-07 08:38:28
63,21,Luxury,7374,75.5,14.3,2025-01-20 23:02:00
64,22,Budget,1519,70.8,13.1,2025-10-12 21:26:40
65,22,Mid-range,3987,50.1,26.6,2025-05-03 05:46:03
66,22,Luxury,23349,49.8,57.9,2025-04-03 21:50:39
67,23,Budget,1244,52.2,29.1,2026-01-19 06:07:43
68,23,Mid-range,5176,73.7,16.8,2026-02-16 14:03:13
69,23,Luxury,8289,61.8,41.1,2025-01-07 01:08:22
70,24,Budget,699,64.7,36.0,2025-11-10 03:16:53
71,24,Mid-range,3518,82.0,4.0,2025-07-18 04:22:42
72,24,Luxury,11070,79.2,6.1,2026-02-07 14:48:33
73,25,Budget,1652,90.6,0,2025-09-26 09:04:35
74,25,Mid-range,5577,84.0,1.4,2026-05-24 10:09:11
75,25,Luxury,19123,86.8,0,2025-08-29 23:45:20
76,26,Budget,1876,78.0,4.4,2026-03-27 08:43:25
77,26,Mid-range,5553,74.2,12.6,2025-10-06 16:24:03
78,26,Luxury,21018,53.1,55.6,2026-05-14 01:46:36
79,27,Budget,1740,70.5,14.0,2025-12-23 01:21:01
80,27,Mid-range,4571,65.0,13.9,2025-07-03 13:58:30
81,27,Luxury,19985,41.0,58.7,2025-12-19 00:21:01
82,28,Budget,1289,67.5,17.9,2025-07-16 01:43:21
83,28,Mid-range,2845,85.5,0,2026-04-18 12:06:00
84,28,Luxury,22624,71.3,15.1,2025-07-23 04:48:48
85,29,Budget,1551,66.5,14.4,2025-07-15 14:38:19
86,29,Mid-range,4880,51.8,39.7,2026-03-06 18:20:32
87,29,Luxury,14795,54.8,38.5,2025-01-28 01:56:31
88,30,Budget,1759,59.1,30.5,2026-01-29 13:45:20
89,30,Mid-range,5579,88.3,0,2025-02-16 08:59:53
90,30,Luxury,21317,73.6,16.6,2025-08-23 09:25:59
91,31,Budget,1826,74.8,12.9,2025-06-02 22:42:54
92,31,Mid-range,2952,65.6,32.7,2026-06-15 19:16:38
93,31,Luxury,10351,66.4,28.7,2025-02-12 11:40:34
94,32,Budget,980,60.1,26.0,2026-02-09 06:33:01
95,32,Mid-range,5188,48.0,63.9,2025-08-15 05:00:59
96,32,Luxury,24157,69.2,18.3,2025-09-01 00:49:02
97,33,Budget,1951,79.1,7.5,2026-01-10 18:28:21
98,33,Mid-range,2432,72.7,17.4,2025-02-20 03:44:42
99,33,Luxury,13145,78.0,6.5,2025-06-27 13:25:40
100,34,Budget,676,75.1,17.7,2026-04-25 05:05:00
101,34,Mid-range,2188,74.2,13.3,2026-05-20 12:26:31
102,34,Luxury,15874,53.7,21.0,2025-04-23 00:10:07
103,35,Budget,1080,69.7,20.5,2025-08-24 14:03:13
104,35,Mid-range,3431,92.8,0,2025-09-03 17:59:25
105,35,Luxury,17058,54.1,28.2,2026-05-23 01:40:10
106,36,Budget,849,79.7,3.2,2025-03-02 23:08:19
107,36,Mid-range,2191,42.1,43.4,2026-05-02 11:02:05
108,36,Luxury,24755,83.3,2.0,2025-06-04 06:18:03
109,37,Budget,662,79.3,10.0,2025-05-28 10:07:05
110,37,Mid-range,4992,80.8,6.3,2026-04-11 12:58:41
111,37,Luxury,17651,84.3,0.6,2025-11-05 11:15:33
112,38,Budget,1294,85.6,0,2025-01-31 16:54:13
113,38,Mid-range,2321,61.8,28.3,2025-11-21 01:14:52
114,38,Luxury,23704,80.9,4.6,2025-08-03 08:41:52
115,39,Budget,1158,63.6,23.5,2025-12-21 08:24:15
116,39,Mid-range,3392,68.4,22.3,2025-11-07 15:33:22
117,39,Luxury,20327,72.3,11.4,2026-04-24 13:40:40
118,40,Budget,908,74.5,7.7,2025-07-31 11:31:40
119,40,Mid-range,5722,73.0,16.8,2026-01-26 19:12:03
120,40,Luxury,7335,84.0,0.7,2025-09-01 19:35:33
121,41,Budget,1243,81.2,5.5,2025-07-15 16:00:38
122,41,Mid-range,2894,86.8,0,2025-04-03 17:13:14
123,41,Luxury,24438,86.5,0,2026-02-18 14:34:00
124,42,Budget,622,74.9,13.0,2025-09-18 08:54:14
125,42,Mid-range,3566,77.7,11.2,2026-03-14 16:15:37
126,42,Luxury,9077,73.9,8.8,2025-02-02 10:43:09
127,43,Budget,1805,88.8,0,2025-04-18 07:52:37
128,43,Mid-range,2852,76.2,15.2,2025-03-19 16:26:50
129,43,Luxury,22853,75.9,11.3,2026-04-03 10:48:43
130,44,Budget,704,56.7,19.0,2025-06-10 00:59:39
131,44,Mid-range,1800,58.0,36.3,2026-04-29 03:31:44
132,44,Luxury,19452,64.3,30.5,2025-05-09 21:18:49
133,45,Budget,1987,73.9,12.1,2026-05-29 14:33:45
134,45,Mid-range,3658,79.0,7.9,2025-05-29 03:20:57
135,45,Luxury,8741,55.5,20.8,2026-05-02 08:11:41
136,46,Budget,1074,73.8,18.1,2026-02-14 20:43:09
137,46,Mid-range,3557,87.2,0,2025-07-12 08:26:46
138,46,Luxury,23680,69.3,13.4,2025-07-21 05:14:38
139,47,Budget,1769,84.4,0.7,2026-05-19 13:58:10
140,47,Mid-range,3541,93.9,0,2025-07-30 01:31:46
141,47,Luxury,22788,82.1,2.9,2025-03-19 01:30:57
142,48,Budget,1161,94.0,0,2026-06-05 04:50:45
143,48,Mid-range,5422,52.0,38.6,2026-03-09 19:08:49
144,48,Luxury,22497,73.5,15.8,2026-04-16 07:30:04
145,49,Budget,1743,56.5,23.4,2026-01-03 10:49:50
146,49,Mid-range,4616,40.1,61.5,2025-06-14 10:29:59
147,49,Luxury,12369,79.1,4.0,2025-12-08 23:46:13
148,50,Budget,931,53.6,47.4,2025-04-18 18:00:39
149,50,Mid-range,5304,82.9,2.3,2026-06-26 02:26:21
150,50,Luxury,19241,64.9,26.6,2026-02-25 13:12:00
151,51,Budget,561,78.2,6.7,2026-06-01 17:50:06
152,51,Mid-range,5633,54.3,34.2,2025-04-16 00:44:35
153,51,Luxury,14854,82.1,4.0,2026-01-04 09:42:46
154,52,Budget,1534,42.1,33.1,2026-05-07 23:35:27
155,52,Mid-range,2432,52.0,49.9,2026-06-15 23:07:49
156,52,Luxury,9293,67.3,26.7,2026-03-30 22:46:20
157,53,Budget,1059,50.5,41.4,2025-09-12 06:55:12
158,53,Mid-range,5974,81.4,6.0,2026-05-25 02:26:00
159,53,Luxury,12511,82.7,2.7,2026-02-28 19:06:35
160,54,Budget,986,57.4,37.3,2026-06-22 20:42:36
161,54,Mid-range,2076,54.4,18.5,2025-07-10 13:05:33
162,54,Luxury,20262,72.1,15.2,2026-05-24 11:37:41
163,55,Budget,1917,82.3,3.7,2026-02-17 23:08:06
164,55,Mid-range,4358,92.7,0,2026-01-25 01:17:36
165,55,Luxury,7090,91.7,0,2025-07-13 00:58:55
166,56,Budget,1837,77.6,8.2,2025-09-27 14:52:50
167,56,Mid-range,2562,52.7,27.1,2026-03-31 06:10:21
168,56,Luxury,22428,68.6,18.3,2025-09-28 21:36:05
169,57,Budget,706,73.6,10.3,2025-09-07 11:00:56
170,57,Mid-range,4721,83.5,1.1,2025-02-15 16:52:04
171,57,Luxury,19485,89.6,0,2025-08-16 08:40:18
172,58,Budget,1996,69.7,21.9,2025-10-20 13:40:44
173,58,Mid-range,5361,50.6,42.0,2025-08-11 16:33:49
174,58,Luxury,5957,91.8,0,2026-02-26 19:44:07
175,59,Budget,513,65.7,21.8,2025-03-07 23:46:51
176,59,Mid-range,4685,71.1,20.6,2026-01-05 21:52:40
177,59,Luxury,23882,76.9,10.4,2025-07-28 06:52:20
178,60,Budget,741,51.9,41.5,2025-08-20 12:52:32
179,60,Mid-range,2234,78.7,6.8,2025-03-30 08:27:02
180,60,Luxury,13102,68.4,14.5,2025-04-17 04:28:13
181,61,Budget,1812,57.1,24.9,2025-05-04 17:56:50
182,61,Mid-range,4730,80.7,6.4,2025-03-15 12:06:00
183,61,Luxury,12316,90.6,0,2025-11-20 07:01:33
184,62,Budget,1317,67.6,31.2,2026-01-07 17:40:24
185,62,Mid-range,3825,64.8,33.6,2025-10-12 12:53:59
186,62,Luxury,13253,81.7,2.0,2025-03-11 07:02:15
187,63,Budget,1678,48.9,39.4,2025-06-29 10:13:30
188,63,Mid-range,2593,68.3,21.7,2025-12-25 15:32:22
189,63,Luxury,21751,76.5,5.1,2025-11-06 04:25:51
190,64,Budget,1626,58.1,39.7,2025-10-25 10:06:02
191,64,Mid-range,5074,72.4,13.7,2025-03-31 16:46:26
192,64,Luxury,24920,56.1,23.0,2025-02-21 00:30:34
193,65,Budget,1243,70.5,18.0,2026-03-09 08:25:59
194,65,Mid-range,4938,54.7,51.3,2026-04-08 10:41:02
195,65,Luxury,12800,66.0,14.4,2026-05-04 05:27:53
196,66,Budget,700,53.1,38.8,2025-04-21 13:17:44
197,66,Mid-range,3173,58.0,34.3,2025-09-19 04:19:06
198,66,Luxury,8148,79.8,9.1,2025-12-15 22:49:03
199,67,Budget,647,50.4,39.9,2025-07-20 08:19:10
200,67,Mid-range,3735,68.2,24.2,2025-07-14 06:50:00
201,67,Luxury,14388,56.1,36.5,2026-06-27 20:34:21
202,68,Budget,1263,83.2,3.1,2026-06-24 09:10:44
203,68,Mid-range,5117,70.1,24.7,2025-12-15 22:39:17
204,68,Luxury,6429,78.3,4.4,2025-03-03 13:04:01
205,69,Budget,572,64.3,31.9,2026-04-13 18:10:26
206,69,Mid-range,5081,55.9,47.3,2025-01-28 17:08:29
207,69,Luxury,6825,84.6,0.6,2026-05-12 02:49:59
208,70,Budget,1100,69.5,22.4,2025-09-24 12:42:47
209,70,Mid-range,1814,65.8,29.7,2025-07-28 05:51:39
210,70,Luxury,8070,48.0,52.4,2026-03-24 15:48:03
211,71,Budget,569,57.6,37.0,2026-05-27 15:16:15
212,71,Mid-range,3286,49.5,42.3,2025-10-23 12:50:03
213,71,Luxury,16899,92.3,0,2025-12-21 11:38:51
214,72,Budget,1923,67.5,16.1,2025-11-15 20:59:05
215,72,Mid-range,3064,67.4,14.5,2025-02-20 05:15:23
216,72,Luxury,9001,63.4,17.2,2026-04-04 17:28:38
217,73,Budget,1919,90.3,0,2025-05-02 12:55:16
218,73,Mid-range,3505,42.4,67.4,2025-12-26 21:19:36
219,73,Luxury,13416,61.1,14.6,2025-11-07 06:38:24
220,74,Budget,1399,68.5,26.7,2025-08-31 07:24:25
221,74,Mid-range,4679,88.3,0,2025-07-13 15:17:50
222,74,Luxury,15590,81.7,5.6,2026-06-07 10:39:04
223,75,Budget,558,83.2,3.1,2025-01-18 05:38:29
224,75,Mid-range,3265,70.3,14.2,2025-11-29 09:44:29
225,75,Luxury,16587,92.0,0,2026-02-19 06:26:42
226,76,Budget,1538,52.6,24.2,2025-06-21 13:25:58
227,76,Mid-range,5815,49.1,46.3,2025-08-28 02:40:19
228,76,Luxury,14206,84.0,1.7,2025-07-08 16:18:44
229,77,Budget,1927,91.9,0,2025-12-20 03:44:48
230,77,Mid-range,2258,68.1,23.5,2025-09-11 04:08:34
231,77,Luxury,19628,70.1,10.8,2025-10-20 03:40:22
232,78,Budget,1578,70.8,9.1,2025-06-28 14:33:04
233,78,Mid-range,4909,37.1,36.5,2025-03-28 21:52:45
234,78,Luxury,8622,71.5,15.5,2026-01-17 09:27:54
235,79,Budget,1525,88.7,0,2025-01-15 05:42:51
236,79,Mid-range,4528,84.6,0.3,2026-05-27 18:46:11
237,79,Luxury,9592,78.2,11.6,2025-08-06 05:12:04
238,80,Budget,1137,75.9,15.8,2025-04-04 21:26:40
239,80,Mid-range,5018,78.4,5.3,2026-03-11 16:04:24
240,80,Luxury,23190,78.8,6.8,2026-03-24 02:11:00
241,81,Budget,1382,46.9,38.4,2025-07-10 21:10:38
242,81,Mid-range,5741,71.3,19.1,2025-09-14 05:38:37
243,81,Luxury,17091,37.7,50.1,2025-08-16 15:35:24
244,82,Budget,1979,78.9,10.8,2025-06-05 10:59:28
245,82,Mid-range,3029,66.9,24.9,2025-07-11 12:19:12
246,82,Luxury,15350,72.2,19.0,2026-01-23 21:03:32
247,83,Budget,1265,72.7,17.7,2025-07-24 06:26:35
248,83,Mid-range,2455,66.7,17.6,2026-03-07 08:19:34
249,83,Luxury,7968,68.9,26.1,2025-08-20 06:38:47
250,84,Budget,755,71.9,12.1,2025-07-05 04:03:21
251,84,Mid-range,5904,82.8,1.4,2025-11-10 07:57:28
252,84,Luxury,8805,69.7,16.7,2025-09-06 01:12:59
253,85,Budget,1935,82.1,4.6,2025-05-30 09:32:19
254,85,Mid-range,4854,39.7,62.6,2025-05-08 23:30:54
255,85,Luxury,11568,78.8,10.1,2025-04-18 00:12:57
256,86,Budget,1083,66.8,26.0,2026-04-22 00:36:52
257,86,Mid-range,5050,65.1,18.1,2025-08-26 18:33:00
258,86,Luxury,10335,41.6,69.2,2025-11-09 09:00:36
259,87,Budget,1523,92.7,0,2025-11-18 21:48:37
260,87,Mid-range,3055,64.0,23.2,2025-09-08 13:37:59
261,87,Luxury,8779,62.1,27.1,2025-06-09 18:16:10
262,88,Budget,1632,82.8,2.8,2025-11-19 18:21:43
263,88,Mid-range,5045,69.5,20.5,2026-05-11 05:02:19
264,88,Luxury,7747,61.3,25.2,2025-10-10 23:04:51
265,89,Budget,1336,78.8,10.2,2025-01-31 07:16:56
266,89,Mid-range,1861,61.6,19.0,2025-06-27 18:03:55
267,89,Luxury,16320,52.5,25.6,2025-02-06 00:39:41
268,90,Budget,1329,76.9,9.3,2026-03-15 06:33:47
269,90,Mid-range,4854,69.9,12.0,2025-05-12 03:36:55
270,90,Luxury,20425,81.1,6.6,2025-03-14 05:58:02
271,91,Budget,684,61.0,19.6,2025-06-26 12:42:54
272,91,Mid-range,2416,86.8,0,2025-11-20 02:28:17
273,91,Luxury,10596,47.7,29.9,2025-11-21 05:07:22
274,92,Budget,526,65.3,26.6,2026-03-26 10:33:39
275,92,Mid-range,5612,79.7,4.2,2025-12-20 22:07:45
276,92,Luxury,20673,71.8,19.7,2025-06-18 23:34:53
277,93,Budget,1092,73.3,18.2,2026-01-10 13:45:14
278,93,Mid-range,5783,82.5,3.9,2025-10-20 17:29:54
279,93,Luxury,15564,79.5,9.7,2025-07-31 04:42:59
280,94,Budget,1796,76.0,12.2,2025-10-14 00:28:12
281,94,Mid-range,4812,70.3,14.0,2025-06-16 14:49:56
282,94,Luxury,22381,61.8,32.5,2026-03-05 14:13:48
283,95,Budget,947,84.6,0.7,2026-04-30 09:50:04
284,95,Mid-range,5480,65.9,21.7,2026-02-09 04:00:57
285,95,Luxury,5708,68.5,28.1,2026-01-07 08:05:25
286,96,Budget,1627,75.5,11.7,2026-06-21 22:36:56
287,96,Mid-range,4519,69.2,20.4,2025-08-17 00:38:52
288,96,Luxury,10069,74.8,18.2,2025-02-20 04:04:50
289,97,Budget,1954,59.5,31.1,2026-06-02 02:42:44
290,97,Mid-range,4236,51.1,49.8,2025-10-07 12:23:08
291,97,Luxury,18377,42.9,56.3,2025-09-23 17:14:46
292,98,Budget,748,40.7,57.6,2025-02-28 00:58:14
293,98,Mid-range,3601,52.9,26.5,2025-10-29 06:15:40
294,98,Luxury,20685,69.2,10.8,2025-05-08 16:52:52
295,99,Budget,1696,71.7,19.3,2025-07-12 17:47:50
296,99,Mid-range,5159,53.9,51.7,2025-06-24 12:01:42
297,99,Luxury,18626,79.1,5.0,2025-11-28 11:19:58
298,100,Budget,1178,80.5,6.5,2025-04-26 04:37:43
299,100,Mid-range,2902,79.4,9.8,2025-01-25 06:38:55
300,100,Luxury,15983,41.2,57.0,2026-05-31 08:09:08
301,101,Budget,1974,84.7,0.2,2025-02-07 12:35:56
302,101,Mid-range,2962,67.7,17.8,2025-04-23 07:40:52
303,101,Luxury,8779,56.1,44.8,2025-06-11 15:05:24
304,102,Budget,580,73.5,7.5,2026-06-05 08:42:11
305,102,Mid-range,2544,75.6,12.0,2026-06-20 04:19:36
306,102,Luxury,21943,78.9,4.3,2026-05-01 22:54:41
307,103,Budget,1381,85.8,0,2026-05-05 21:18:58
308,103,Mid-range,2990,80.4,3.6,2025-06-28 06:42:00
309,103,Luxury,20529,81.1,5.0,2026-03-14 12:58:13
310,104,Budget,1819,55.6,42.4,2026-06-01 12:30:03
311,104,Mid-range,5755,43.4,61.7,2025-12-08 16:03:43
312,104,Luxury,8844,49.8,58.1,2026-06-21 10:15:21
313,105,Budget,1483,53.8,51.9,2025-11-11 22:21:14
314,105,Mid-range,2251,86.7,0,2025-06-25 05:27:09
315,105,Luxury,10297,73.5,13.3,2025-11-12 15:08:14
316,106,Budget,784,84.5,0.9,2025-12-31 14:41:10
317,106,Mid-range,3163,69.7,10.4,2025-08-08 17:18:40
318,106,Luxury,5790,86.7,0,2025-02-11 11:50:12
319,107,Budget,709,77.3,6.5,2025-01-13 08:04:42
320,107,Mid-range,5431,67.7,20.4,2025-02-01 15:26:44
321,107,Luxury,9164,68.8,12.1,2025-02-07 11:11:15
322,108,Budget,1476,46.3,59.8,2026-04-08 01:16:04
323,108,Mid-range,4801,64.0,25.6,2025-05-06 18:56:00
324,108,Luxury,22966,85.8,0,2025-08-14 20:28:17
325,109,Budget,698,86.2,0,2025-12-22 20:00:52
326,109,Mid-range,2089,88.2,0,2026-06-21 12:03:50
327,109,Luxury,20401,83.0,2.3,2025-06-01 02:56:31
328,110,Budget,1023,67.5,18.1,2025-08-31 17:43:57
329,110,Mid-range,4159,81.2,5.5,2025-03-11 02:36:36
330,110,Luxury,17260,52.7,55.8,2026-01-22 03:33:29
331,111,Budget,1677,61.1,28.8,2025-07-06 08:12:11
332,111,Mid-range,5184,62.9,21.8,2025-04-10 01:52:07
333,111,Luxury,14716,73.1,7.9,2026-04-26 09:04:14
334,112,Budget,1157,81.2,5.8,2025-05-25 15:41:16
335,112,Mid-range,3612,73.6,8.9,2025-03-12 23:51:04
336,112,Luxury,21846,53.9,46.7,2025-06-06 14:36:29
337,113,Budget,1728,67.0,11.0,2026-02-20 16:59:25
338,113,Mid-range,5634,79.2,4.9,2026-03-05 14:46:23
339,113,Luxury,11965,59.2,31.9,2025-09-13 14:38:49
340,114,Budget,582,47.7,34.5,2025-06-14 20:13:53
341,114,Mid-range,4600,43.1,43.7,2026-03-14 17:03:44
342,114,Luxury,13335,89.1,0,2025-09-09 21:11:00
343,115,Budget,1446,86.7,0,2025-04-10 21:20:13
344,115,Mid-range,2812,81.2,4.9,2026-02-22 14:35:54
345,115,Luxury,10757,45.2,66.0,2025-07-09 23:45:56
346,116,Budget,587,68.2,12.8,2025-01-12 11:32:22
347,116,Mid-range,2148,76.7,8.4,2026-01-06 01:14:34
348,116,Luxury,12909,55.8,21.7,2025-09-07 09:58:27
349,117,Budget,1377,55.4,38.2,2026-05-26 00:43:54
350,117,Mid-range,5050,44.8,49.2,2025-02-15 10:15:45
351,117,Luxury,13644,55.9,45.3,2025-12-15 15:18:04
352,118,Budget,520,75.5,8.8,2026-06-18 06:17:47
353,118,Mid-range,2652,67.8,22.7,2025-07-31 06:37:27
354,118,Luxury,23974,80.7,6.4,2025-03-11 13:52:34
355,119,Budget,1342,61.7,30.5,2025-06-07 11:01:16
356,119,Mid-range,4853,71.0,11.5,2026-02-27 12:44:17
357,119,Luxury,14467,63.9,32.1,2025-11-13 06:58:44
358,120,Budget,654,93.2,0,2026-02-27 23:23:59
359,120,Mid-range,5945,84.7,0.5,2025-08-06 00:37:49
360,120,Luxury,24745,77.5,10.5,2025-10-02 13:00:40
361,121,Budget,1179,85.0,0,2026-05-16 07:22:18
362,121,Mid-range,4913,61.3,35.5,2026-02-17 17:30:00
363,121,Luxury,18534,81.7,3.9,2025-07-06 10:20:37
364,122,Budget,1015,67.7,17.6,2025-09-02 21:53:54
365,122,Mid-range,2824,72.4,9.0,2025-02-18 07:40:32
366,122,Luxury,14882,58.5,45.1,2025-10-08 20:45:10
367,123,Budget,1917,46.4,53.0,2025-04-29 20:09:13
368,123,Mid-range,2094,63.6,28.2,2025-03-24 18:04:13
369,123,Luxury,16147,48.5,61.4,2026-05-10 19:18:06
370,124,Budget,1375,45.4,65.1,2026-03-20 00:17:18
371,124,Mid-range,5345,55.1,27.9,2025-06-21 20:30:22
372,124,Luxury,16094,51.2,26.1,2025-08-13 03:43:18
373,125,Budget,1394,69.6,12.0,2025-02-25 21:01:16
374,125,Mid-range,4835,86.4,0,2025-02-13 13:31:12
375,125,Luxury,18854,88.7,0,2025-09-01 15:52:05
376,126,Budget,1192,84.8,0.2,2025-05-31 09:38:02
377,126,Mid-range,2063,87.7,0,2026-02-04 23:47:36
378,126,Luxury,8063,65.8,26.2,2025-11-16 02:26:18
379,127,Budget,1366,64.5,22.5,2026-01-25 19:47:34
380,127,Mid-range,5281,69.4,21.7,2025-07-01 01:46:43
381,127,Luxury,11012,81.9,3.8,2025-01-26 13:59:15
382,128,Budget,1717,60.3,24.4,2025-12-02 00:18:04
383,128,Mid-range,3391,89.5,0,2025-11-17 06:01:28
384,128,Luxury,20232,57.2,36.2,2025-09-11 09:58:32
385,129,Budget,1631,75.2,9.8,2025-08-27 02:28:01
386,129,Mid-range,5305,65.0,23.5,2025-06-14 06:49:25
387,129,Luxury,6970,91.5,0,2026-02-14 07:57:10
388,130,Budget,1941,75.0,7.3,2026-01-12 16:45:16
389,130,Mid-range,2939,69.6,26.1,2025-07-20 13:39:24
390,130,Luxury,22218,86.8,0,2025-04-06 23:44:22
391,131,Budget,1197,68.5,24.7,2026-06-11 03:04:11
392,131,Mid-range,3583,87.3,0,2026-05-11 04:39:49
393,131,Luxury,14602,70.4,9.1,2025-10-19 12:09:35
394,132,Budget,661,84.0,0.6,2025-07-26 22:12:36
395,132,Mid-range,4875,66.6,15.2,2025-11-23 08:10:39
396,132,Luxury,20405,49.2,22.1,2025-03-06 09:23:30
397,133,Budget,1222,62.1,15.3,2025-09-21 04:38:28
398,133,Mid-range,5589,81.9,2.4,2025-06-15 23:10:27
399,133,Luxury,8278,79.2,8.3,2026-02-27 08:59:25
400,134,Budget,1452,72.6,18.4,2025-06-30 13:51:02
401,134,Mid-range,3046,58.5,22.5,2025-01-06 16:18:47
402,134,Luxury,9160,60.9,33.1,2025-09-14 08:20:08
403,135,Budget,1692,93.0,0,2025-08-24 20:30:13
404,135,Mid-range,4109,74.8,17.6,2025-04-06 05:10:01
405,135,Luxury,13227,77.2,12.0,2025-12-17 16:25:10
406,136,Budget,1986,84.0,1.5,2025-05-03 07:48:56
407,136,Mid-range,5785,49.2,53.5,2025-10-01 11:24:33
408,136,Luxury,10600,58.9,16.9,2025-04-08 05:12:24
409,137,Budget,927,79.3,6.6,2026-05-20 16:38:02
410,137,Mid-range,2705,89.9,0,2025-03-24 03:44:35
411,137,Luxury,17455,91.1,0,2026-04-28 08:12:18
412,138,Budget,1962,88.7,0,2025-09-20 20:52:43
413,138,Mid-range,5730,54.8,21.6,2026-02-17 19:56:54
414,138,Luxury,11221,69.4,13.2,2026-06-02 14:02:22
415,139,Budget,1497,54.3,50.5,2026-02-18 22:58:55
416,139,Mid-range,5414,88.0,0,2025-07-07 05:40:41
417,139,Luxury,14383,74.9,10.2,2025-03-16 15:49:58
