parking_pricing_id,city_id,vehicle_type,price_per_hour_inr,trust_score,scam_markup_pct,timestamp
30,15,Four-wheeler,46,50.0,34.5,2025-06-29 18:13:41
31,16,Two-wheeler,12,61.3,15.9,2025-05-16 14:06:43
32,16,Four-wheeler,54,86.6,0,2026-05-27 09:45:45
33,17,Two-wheeler,24,66.5,18.1,2025-07-28 02:15:17
34,17,Four-wheeler,69,86.8,0,2025-09-06 07:48:46
35,18,Two-wheeler,20,66.5,22.8,2025-09-17 06:48:20
36,18,Four-wheeler,23,69.1,28.4,2025-02-11 12:49:30
37,19,Two-wheeler,11,52.5,27.2,2025-09-05 07:23:53
38,19,Four-wheeler,65,70.9,23.2,2026-03-12 09:51:45
39,20,Two-wheeler,17,70.7,21.9,2025-06-23 08:31:49
40,20,Four-wheeler,35,87.0,0,2025-12-17 14:42:53
41,21,Two-wheeler,13,89.6,0,2025-02-21 21:52:14
42,21,Four-wheeler,43,66.1,12.3,2026-02-04 17:11:40
43,22,Two-wheeler,24,65.8,14.2,2026-05-16 03:04:39
44,22,Four-wheeler,43,71.2,15.3,2025-11-04 15:07:20
45,23,Two-wheeler,12,81.5,6.0,2025-05-01 01:46:54
46,23,Four-wheeler,42,93.8,0,2025-07-05 10:38:46
47,24,Two-wheeler,13,47.3,42.7,2025-01-10 20:13:13
48,24,Four-wheeler,28,50.1,56.8,2026-02-07 23:01:13
49,25,Two-wheeler,16,78.2,7.1,2025-03-20 01:49:18
50,25,Four-wheeler,42,45.7,62.9,2025-06-15 19:01:07
51,26,Two-wheeler,15,73.3,20.2,2025-07-28 23:55:03
52,26,Four-wheeler,69,88.9,0,2026-03-16 10:11:04
53,27,Two-wheeler,16,61.2,40.4,2026-06-14 12:32:13
54,27,Four-wheeler,91,71.9,20.9,2026-02-06 22:34:08
55,28,Two-wheeler,19,53.6,31.1,2025-07-17 15:10:56
56,28,Four-wheeler,77,74.3,9.1,2026-01-14 17:24:46
57,29,Two-wheeler,28,68.5,13.7,2025-02-25 14:11:37
58,29,Four-wheeler,58,63.1,29.5,2025-03-11 14:33:21
59,30,Two-wheeler,11,84.6,0.5,2025-08-08 20:41:18
60,30,Four-wheeler,42,62.6,31.7,2025-03-05 00:52:43
61,31,Two-wheeler,21,71.8,21.5,2026-06-10 23:37:08
62,31,Four-wheeler,77,52.1,51.4,2025-03-31 03:16:49
63,32,Two-wheeler,19,88.7,0,2026-05-04 00:32:12
64,32,Four-wheeler,32,54.8,19.7,2026-02-02 14:57:01
65,33,Two-wheeler,25,77.4,11.7,2025-04-26 22:35:47
66,33,Four-wheeler,89,67.9,14.5,2026-06-20 21:42:41
67,34,Two-wheeler,19,91.3,0,2025-11-19 20:17:19
68,34,Four-wheeler,34,79.6,8.3,2025-11-28 12:15:56
69,35,Two-wheeler,13,67.8,19.3,2025-04-30 15:16:07
70,35,Four-wheeler,84,76.9,13.9,2025-04-18 01:33:16
71,36,Two-wheeler,11,84.0,1.1,2025-07-01 22:39:11
72,36,Four-wheeler,99,96.5,0,2025-10-02 05:33:23
73,37,Two-wheeler,18,72.3,14.3,2025-08-10 04:27:22
74,37,Four-wheeler,86,48.6,39.7,2025-08-02 16:49:58
75,38,Two-wheeler,16,54.2,41.9,2025-02-21 03:15:01
76,38,Four-wheeler,94,69.3,19.7,2025-02-17 20:17:07
77,39,Two-wheeler,15,93.6,0,2026-02-22 17:31:29
78,39,Four-wheeler,73,58.0,33.6,2026-06-20 10:35:10
79,40,Two-wheeler,18,74.4,7.5,2025-10-17 10:14:20
80,40,Four-wheeler,63,50.3,39.7,2026-05-26 21:32:23
81,41,Two-wheeler,29,74.3,13.4,2026-01-06 11:48:31
82,41,Four-wheeler,100,61.7,20.2,2026-01-05 07:29:31
83,42,Two-wheeler,30,64.8,13.5,2026-02-26 10:41:35
84,42,Four-wheeler,40,89.2,0,2025-02-22 17:44:55
85,43,Two-wheeler,28,75.2,6.8,2025-04-12 14:36:43
86,43,Four-wheeler,77,90.4,0,2025-05-28 07:38:29
87,44,Two-wheeler,24,66.1,31.3,2026-02-01 20:21:12
88,44,Four-wheeler,67,63.5,15.1,2025-07-11 03:58:45
89,45,Two-wheeler,13,58.1,26.1,2025-12-29 18:47:57
90,45,Four-wheeler,75,62.3,14.2,2025-03-26 09:43:07
91,46,Two-wheeler,19,50.9,31.6,2026-04-24 18:20:54
92,46,Four-wheeler,51,83.9,1.7,2025-09-23 17:09:46
93,47,Two-wheeler,26,70.2,16.0,2025-10-09 11:17:50
94,47,Four-wheeler,65,68.5,15.0,2025-01-01 06:10:55
95,48,Two-wheeler,30,79.1,4.6,2026-04-21 13:32:38
96,48,Four-wheeler,39,74.8,10.7,2025-02-06 23:08:15
97,49,Two-wheeler,11,82.0,3.6,2026-01-10 10:15:25
98,49,Four-wheeler,85,88.9,0,2025-10-01 00:16:01
99,50,Two-wheeler,29,91.1,0,2025-01-10 13:01:11
100,50,Four-wheeler,32,65.5,15.0,2026-01-26 13:16:12
101,51,Two-wheeler,20,62.6,30.0,2026-05-09 06:30:19
102,51,Four-wheeler,72,63.5,21.1,2025-05-21 01:50:20
103,52,Two-wheeler,20,80.0,7.0,2025-08-14 13:39:02
104,52,Four-wheeler,37,65.7,12.0,2025-10-25 03:00:17
105,53,Two-wheeler,13,43.8,38.7,2025-04-02 08:05:59
106,53,Four-wheeler,36,66.0,12.3,2025-09-02 17:21:14
107,54,Two-wheeler,22,43.6,74.5,2026-05-03 22:55:46
108,54,Four-wheeler,46,80.5,7.6,2025-12-23 11:43:04
109,55,Two-wheeler,20,75.7,9.0,2025-02-23 07:51:00
110,55,Four-wheeler,24,80.8,3.5,2025-05-17 10:15:52
111,56,Two-wheeler,21,64.2,13.9,2025-05-06 20:08:11
112,56,Four-wheeler,90,79.9,5.7,2026-03-09 11:09:27
113,57,Two-wheeler,18,78.4,7.6,2025-09-01 04:20:41
114,57,Four-wheeler,91,45.4,59.1,2026-03-01 09:36:07
115,58,Two-wheeler,25,47.3,43.9,2025-05-15 09:52:20
116,58,Four-wheeler,98,44.9,63.4,2026-06-11 15:39:20
117,59,Two-wheeler,24,74.8,14.4,2026-02-08 18:10:07
118,59,Four-wheeler,100,57.6,16.7,2025-10-13 10:22:37
119,60,Two-wheeler,13,75.1,10.3,2025-01-10 03:26:52
120,60,Four-wheeler,53,75.7,9.1,2025-04-05 13:58:58
121,61,Two-wheeler,16,47.6,51.7,2025-05-01 07:14:28
122,61,Four-wheeler,97,55.2,28.7,2026-04-27 03:21:30
123,62,Two-wheeler,25,81.7,5.7,2025-08-27 01:10:38
124,62,Four-wheeler,93,50.3,35.9,2025-04-11 16:01:17
125,63,Two-wheeler,29,62.1,24.7,2026-05-27 20:35:12
126,63,Four-wheeler,68,43.5,72.4,2025-02-12 06:42:44
127,64,Two-wheeler,12,82.7,3.6,2026-01-05 17:13:20
128,64,Four-wheeler,78,59.1,20.9,2025-10-26 09:17:13
129,65,Two-wheeler,19,87.2,0,2026-05-22 00:51:59
130,65,Four-wheeler,66,76.7,8.9,2025-05-16 00:52:03
131,66,Two-wheeler,19,78.9,4.7,2025-11-10 15:09:04
132,66,Four-wheeler,40,69.3,19.2,2026-06-26 18:14:33
133,67,Two-wheeler,11,74.8,12.1,2026-04-23 02:22:04
134,67,Four-wheeler,77,74.6,17.1,2025-10-27 11:03:52
135,68,Two-wheeler,16,91.5,0,2025-08-24 07:14:18
136,68,Four-wheeler,89,84.5,0.3,2025-10-20 11:55:21
137,69,Two-wheeler,20,48.8,34.1,2025-12-21 15:18:43
138,69,Four-wheeler,62,64.9,32.5,2026-03-20 08:30:03
139,70,Two-wheeler,28,80.0,6.3,2026-06-03 15:41:15
140,70,Four-wheeler,65,87.6,0,2025-01-11 11:00:28
141,71,Two-wheeler,26,65.3,14.4,2026-06-12 09:09:17
142,71,Four-wheeler,25,74.2,13.8,2025-03-20 04:07:35
143,72,Two-wheeler,20,77.5,5.8,2025-12-29 23:35:24
144,72,Four-wheeler,55,66.8,30.1,2026-06-08 07:58:54
145,73,Two-wheeler,18,48.1,65.3,2025-06-29 11:01:06
146,73,Four-wheeler,28,58.2,35.7,2025-03-14 11:02:43
147,74,Two-wheeler,12,60.6,37.1,2025-09-11 07:35:35
148,74,Four-wheeler,94,46.1,58.8,2025-12-21 06:26:49
149,75,Two-wheeler,10,76.9,9.9,2025-11-13 17:01:45
150,75,Four-wheeler,26,72.6,10.8,2026-02-05 08:18:29
151,76,Two-wheeler,17,95.7,0,2026-02-13 14:30:52
152,76,Four-wheeler,28,57.1,45.8,2026-04-10 11:37:58
153,77,Two-wheeler,28,72.1,20.7,2025-04-28 04:08:46
154,77,Four-wheeler,74,86.4,0,2025-12-27 14:58:14
155,78,Two-wheeler,14,69.0,24.7,2025-04-05 13:44:21
156,78,Four-wheeler,67,74.4,13.9,2026-04-25 21:41:37
157,79,Two-wheeler,21,69.0,10.3,2026-06-03 13:45:55
158,79,Four-wheeler,54,73.2,16.4,2025-06-25 09:59:04
159,80,Two-wheeler,18,67.1,23.8,2025-01-11 06:48:44
160,80,Four-wheeler,28,74.3,13.8,2025-11-13 21:48:20
161,81,Two-wheeler,17,46.2,65.9,2025-04-12 12:07:20
162,81,Four-wheeler,87,71.9,8.9,2025-09-20 23:49:05
163,82,Two-wheeler,27,90.1,0,2025-08-12 05:13:10
164,82,Four-wheeler,75,65.4,22.9,2026-02-07 01:22:48
165,83,Two-wheeler,17,97.0,0,2025-07-31 23:42:17
166,83,Four-wheeler,100,83.3,2.6,2026-06-01 11:39:08
167,84,Two-wheeler,24,77.0,9.5,2025-04-03 17:07:41
168,84,Four-wheeler,66,37.2,66.1,2025-08-05 08:02:21
169,85,Two-wheeler,26,66.2,33.5,2025-05-15 00:51:51
170,85,Four-wheeler,47,69.3,16.4,2025-08-14 01:58:46
171,86,Two-wheeler,11,74.4,13.9,2025-05-23 08:25:11
172,86,Four-wheeler,88,78.4,11.1,2026-04-26 11:13:07
173,87,Two-wheeler,17,78.0,8.4,2025-06-23 03:05:41
174,87,Four-wheeler,48,62.8,22.0,2025-09-01 12:15:07
175,88,Two-wheeler,23,69.8,18.3,2025-04-23 14:26:49
176,88,Four-wheeler,94,81.3,6.1,2025-05-21 21:56:30
177,89,Two-wheeler,15,58.9,29.8,2026-01-16 06:16:58
178,89,Four-wheeler,30,85.9,0,2025-05-25 11:30:26
179,90,Two-wheeler,27,70.2,14.6,2025-09-22 04:58:54
180,90,Four-wheeler,22,67.1,28.8,2025-05-07 16:42:39
181,91,Two-wheeler,10,81.1,4.5,2026-02-20 17:53:09
182,91,Four-wheeler,45,80.3,6.2,2025-11-28 04:32:49
183,92,Two-wheeler,25,69.5,20.8,2026-02-13 13:42:11
184,92,Four-wheeler,54,57.0,49.8,2025-01-08 10:41:38
185,93,Two-wheeler,28,61.9,14.8,2025-07-26 14:07:39
186,93,Four-wheeler,92,81.2,6.8,2026-03-29 04:49:43
187,94,Two-wheeler,11,61.5,31.1,2025-03-26 16:21:32
188,94,Four-wheeler,72,71.9,23.0,2025-01-21 16:31:12
189,95,Two-wheeler,21,84.5,0.4,2025-10-24 01:07:35
190,95,Four-wheeler,95,56.9,45.2,2025-02-09 11:37:35
191,96,Two-wheeler,19,60.1,44.1,2025-01-16 20:01:39
192,96,Four-wheeler,54,64.5,15.3,2025-01-30 03:14:33
193,97,Two-wheeler,19,66.6,24.5,2026-04-10 13:26:10
194,97,Four-wheeler,95,80.6,5.5,2025-04-20 17:08:08
195,98,Two-wheeler,26,38.1,35.4,2025-09-25 03:32:42
196,98,Four-wheeler,33,83.3,2.3,2025-02-07 05:15:55
197,99,Two-wheeler,13,60.6,43.6,2025-08-22 23:13:51
198,99,Four-wheeler,74,70.9,17.8,2025-11-08 11:07:12
199,100,Two-wheeler,30,74.2,10.5,2026-01-06 11:06:15
200,100,Four-wheeler,93,75.1,10.2,2025-08-28 20:43:43
201,101,Two-wheeler,10,67.7,26.6,2025-02-11 19:44:42
202,101,Four-wheeler,40,94.4,0,2025-08-08 08:18:40
203,102,Two-wheeler,17,76.1,8.9,2025-01-23 19:47:07
204,102,Four-wheeler,82,52.0,38.9,2026-03-29 07:19:50
205,103,Two-wheeler,30,68.2,12.5,2026-02-07 13:09:48
206,103,Four-wheeler,28,68.2,11.3,2025-07-16 06:37:07
207,104,Two-wheeler,23,46.9,61.1,2026-04-14 06:01:04
208,104,Four-wheeler,77,72.8,21.8,2026-06-11 14:46:25
209,105,Two-wheeler,17,63.1,15.6,2025-09-10 23:14:10
210,105,Four-wheeler,30,77.7,10.8,2025-10-20 06:17:31
211,106,Two-wheeler,19,63.9,22.9,2026-05-14 22:38:22
212,106,Four-wheeler,41,70.1,23.2,2026-05-25 07:15:21
213,107,Two-wheeler,23,73.6,14.6,2025-04-08 21:26:33
214,107,Four-wheeler,43,74.4,8.8,2025-01-06 18:13:45
215,108,Two-wheeler,23,81.9,4.6,2025-04-09 04:47:36
216,108,Four-wheeler,36,42.2,40.7,2026-03-07 13:04:43
217,109,Two-wheeler,19,77.2,10.5,2026-05-27 19:20:22
218,109,Four-wheeler,36,63.8,18.3,2025-10-17 15:08:21
219,110,Two-wheeler,13,71.8,21.8,2025-10-14 23:14:37
220,110,Four-wheeler,33,78.4,9.6,2025-12-31 21:50:19
221,111,Two-wheeler,23,46.7,44.6,2026-03-02 12:46:08
222,111,Four-wheeler,35,61.0,14.4,2025-12-17 22:49:25
223,112,Two-wheeler,15,73.2,14.9,2025-05-02 15:42:51
224,112,Four-wheeler,68,71.1,8.6,2025-02-06 02:48:15
225,113,Two-wheeler,24,81.2,5.9,2026-06-27 12:49:27
226,113,Four-wheeler,70,66.9,22.3,2026-01-02 14:19:22
227,114,Two-wheeler,15,56.9,41.7,2026-05-17 03:13:26
228,114,Four-wheeler,96,60.6,19.7,2025-05-02 10:40:11
229,115,Two-wheeler,20,82.7,3.2,2025-01-04 22:06:28
230,115,Four-wheeler,25,67.9,21.9,2026-02-03 12:20:31
231,116,Two-wheeler,29,93.2,0,2025-01-15 12:25:28
232,116,Four-wheeler,48,90.6,0,2026-02-10 15:42:30
233,117,Two-wheeler,14,42.8,68.0,2025-01-23 04:31:24
234,117,Four-wheeler,63,91.9,0,2026-04-05 11:37:26
235,118,Two-wheeler,26,57.0,31.3,2025-03-21 08:17:09
236,118,Four-wheeler,74,70.1,19.9,2025-01-03 18:13:35
237,119,Two-wheeler,17,85.5,0,2026-03-06 16:50:28
238,119,Four-wheeler,86,77.8,8.7,2025-06-10 09:12:18
239,120,Two-wheeler,17,58.2,25.9,2025-11-07 02:49:12
240,120,Four-wheeler,26,75.0,9.8,2025-06-14 14:27:24
241,121,Two-wheeler,15,58.5,30.0,2026-01-08 15:19:50
242,121,Four-wheeler,92,73.7,12.7,2025-01-02 11:06:41
243,122,Two-wheeler,13,78.9,4.3,2025-11-02 12:36:13
244,122,Four-wheeler,52,82.8,3.5,2025-02-10 10:05:38
245,123,Two-wheeler,28,60.3,21.5,2026-01-16 23:41:26
246,123,Four-wheeler,68,62.7,33.6,2025-05-27 22:00:23
247,124,Two-wheeler,23,75.9,15.1,2026-04-10 06:01:36
248,124,Four-wheeler,64,57.5,19.0,2025-07-01 03:49:39
249,125,Two-wheeler,18,71.2,17.1,2026-02-14 13:40:27
250,125,Four-wheeler,70,78.9,7.3,2026-03-29 09:08:14
251,126,Two-wheeler,23,71.9,22.5,2025-06-05 15:38:10
252,126,Four-wheeler,89,84.6,0.6,2025-03-24 14:50:57
253,127,Two-wheeler,12,80.6,5.0,2025-08-26 15:41:36
254,127,Four-wheeler,61,75.2,9.0,2025-02-08 09:34:41
255,128,Two-wheeler,24,68.6,23.5,2025-08-31 14:40:32
256,128,Four-wheeler,59,72.2,9.5,2025-01-15 01:39:45
257,129,Two-wheeler,18,87.4,0,2025-01-31 16:36:09
258,129,Four-wheeler,32,78.8,10.5,2025-06-21 20:56:26
259,130,Two-wheeler,27,75.2,17.2,2026-04-25 21:44:09
260,130,Four-wheeler,27,84.4,0.8,2025-07-29 11:25:13
261,131,Two-wheeler,20,69.5,11.5,2025-12-01 20:55:43
262,131,Four-wheeler,80,42.0,43.7,2025-07-08 00:33:46
263,132,Two-wheeler,20,77.1,7.0,2025-09-25 22:18:53
264,132,Four-wheeler,52,59.6,30.7,2026-06-20 13:16:14
265,133,Two-wheeler,26,59.3,28.3,2025-08-12 16:26:08
266,133,Four-wheeler,34,77.0,14.4,2025-08-30 17:34:12
267,134,Two-wheeler,29,55.5,43.0,2025-09-13 02:08:56
268,134,Four-wheeler,60,73.4,20.7,2025-06-07 23:13:15
269,135,Two-wheeler,22,84.4,1.0,2026-01-18 05:50:40
270,135,Four-wheeler,34,82.2,3.2,2025-06-12 12:39:51
271,136,Two-wheeler,15,82.6,1.5,2025-06-09 02:14:49
272,136,Four-wheeler,32,75.9,15.6,2025-02-21 11:03:07
273,137,Two-wheeler,24,78.6,4.4,2026-02-04 03:06:23
274,137,Four-wheeler,51,81.4,4.7,2025-11-27 19:03:03
275,138,Two-wheeler,17,70.7,18.7,2025-11-04 10:43:33
276,138,Four-wheeler,29,70.5,24.1,2025-05-15 03:12:11
277,139,Two-wheeler,13,86.5,0,2025-01-24 09:20:29
278,139,Four-wheeler,35,73.2,20.3,2026-06-17 02:35:40
