transport_pricing_id,city_id,mode,unit,price_inr,trust_score,scam_markup_pct,timestamp
74,23,Local Bus,per_trip,16.6,48.9,38.1,2026-04-05 13:11:33
75,24,Taxi,per_km,14.5,74.0,6.8,2025-09-18 02:54:53
76,24,Auto Rickshaw,per_km,13.1,71.1,9.9,2026-05-27 08:36:04
77,24,Local Bus,per_trip,12.1,74.1,15.4,2026-02-18 15:30:57
78,25,Taxi,per_km,20.8,57.8,22.8,2026-04-15 13:08:49
79,25,Auto Rickshaw,per_km,8.5,55.2,36.0,2025-08-16 02:40:55
80,25,Local Bus,per_trip,24.5,65.9,16.7,2026-04-01 11:30:55
81,26,Taxi,per_km,16.6,68.1,28.6,2025-06-13 21:43:10
82,26,Auto Rickshaw,per_km,12.6,74.9,10.0,2025-11-12 12:30:00
83,26,Local Bus,per_trip,7.1,60.0,39.1,2026-03-26 18:04:25
84,26,Ferry,per_trip,265.0,62.4,33.3,2025-11-14 02:32:21
85,27,Taxi,per_km,19.5,57.3,18.0,2025-11-09 04:27:45
86,27,Auto Rickshaw,per_km,10.2,61.2,21.6,2025-05-13 16:27:00
87,27,Local Bus,per_trip,27.5,71.6,10.5,2025-03-21 03:16:55
88,28,Taxi,per_km,24.2,65.9,20.6,2025-01-21 11:22:04
89,28,Auto Rickshaw,per_km,8.7,89.6,0,2025-09-14 08:30:42
90,28,Local Bus,per_trip,28.6,69.2,28.4,2026-02-14 20:56:54
91,28,Ferry,per_trip,135.5,71.2,22.1,2025-09-25 16:54:46
92,29,Taxi,per_km,23.0,75.2,7.6,2025-11-11 01:49:01
93,29,Auto Rickshaw,per_km,11.2,78.0,8.2,2025-06-19 04:29:56
94,29,Local Bus,per_trip,38.0,91.6,0,2025-06-09 00:22:18
95,29,Ferry,per_trip,41.8,87.0,0,2025-05-16 16:36:26
96,30,Taxi,per_km,14.1,59.4,21.4,2025-07-02 11:42:49
97,30,Auto Rickshaw,per_km,10.6,85.9,0,2026-01-13 12:11:39
98,30,Local Bus,per_trip,12.6,65.4,33.7,2025-06-28 06:14:25
99,31,Taxi,per_km,24.9,73.8,17.8,2026-06-07 04:28:05
100,31,Auto Rickshaw,per_km,17.6,91.8,0,2025-07-28 18:20:08
101,31,Local Bus,per_trip,5.5,87.9,0,2025-03-28 17:23:11
102,32,Taxi,per_km,16.0,83.0,1.3,2026-03-01 09:55:57
103,32,Auto Rickshaw,per_km,9.5,77.2,13.2,2026-06-30 12:48:12
104,32,Local Bus,per_trip,9.9,79.5,6.0,2025-07-08 02:34:28
105,32,Ferry,per_trip,272.8,75.7,16.4,2025-02-08 08:56:53
106,33,Taxi,per_km,18.8,65.9,16.0,2025-09-09 00:37:07
107,33,Auto Rickshaw,per_km,12.9,87.6,0,2026-03-16 08:51:50
108,33,Local Bus,per_trip,18.3,86.9,0,2025-06-29 11:04:00
109,33,Ferry,per_trip,216.5,51.8,24.4,2025-12-28 06:33:09
110,34,Taxi,per_km,17.9,58.4,40.2,2025-03-15 23:01:26
111,34,Auto Rickshaw,per_km,17.4,59.5,24.9,2026-03-01 10:34:06
112,34,Local Bus,per_trip,35.6,82.4,4.1,2025-11-11 16:50:18
113,35,Taxi,per_km,21.2,69.2,26.1,2026-05-03 00:24:24
114,35,Auto Rickshaw,per_km,13.0,58.9,32.0,2025-10-23 03:34:41
115,35,Local Bus,per_trip,11.2,92.1,0,2025-01-28 21:03:12
116,36,Taxi,per_km,17.7,81.4,5.8,2025-12-17 06:12:49
117,36,Auto Rickshaw,per_km,13.5,63.9,36.7,2025-12-21 00:53:07
118,36,Local Bus,per_trip,19.2,75.7,16.2,2026-05-14 12:34:30
119,37,Taxi,per_km,18.6,58.6,20.7,2025-10-17 20:20:27
120,37,Auto Rickshaw,per_km,14.1,69.2,17.8,2025-12-20 20:08:46
121,37,Local Bus,per_trip,17.1,62.8,24.1,2026-03-17 17:14:09
122,38,Taxi,per_km,15.8,56.7,20.8,2025-10-25 18:27:44
123,38,Auto Rickshaw,per_km,17.6,87.8,0,2026-05-17 11:01:01
124,38,Local Bus,per_trip,27.9,77.4,10.0,2025-11-06 00:41:14
125,39,Taxi,per_km,12.0,82.8,2.2,2025-07-01 11:13:23
126,39,Auto Rickshaw,per_km,16.1,87.2,0,2025-02-07 01:51:11
127,39,Local Bus,per_trip,39.0,89.3,0,2025-01-03 02:41:34
128,40,Taxi,per_km,20.0,82.3,2.2,2025-06-25 08:05:43
129,40,Auto Rickshaw,per_km,8.8,48.1,50.4,2025-04-27 18:51:01
130,40,Local Bus,per_trip,22.5,76.2,9.7,2026-06-21 14:26:36
131,41,Taxi,per_km,19.4,48.3,28.3,2025-04-17 13:20:41
132,41,Auto Rickshaw,per_km,14.1,83.1,3.4,2026-06-11 23:35:34
133,41,Local Bus,per_trip,27.9,83.0,1.7,2025-04-29 11:19:53
134,42,Taxi,per_km,24.9,70.3,22.3,2025-08-29 13:29:09
135,42,Auto Rickshaw,per_km,8.5,83.4,1.0,2025-01-07 13:20:13
136,42,Local Bus,per_trip,11.5,64.3,23.8,2026-01-19 14:04:53
137,43,Taxi,per_km,15.4,81.2,3.5,2025-03-09 05:20:02
138,43,Auto Rickshaw,per_km,11.2,74.2,16.8,2026-01-18 06:28:56
139,43,Local Bus,per_trip,12.1,63.8,17.1,2026-02-26 23:47:18
140,44,Taxi,per_km,19.5,55.3,25.0,2025-06-28 10:55:32
141,44,Auto Rickshaw,per_km,15.1,72.4,9.9,2025-05-01 20:20:42
142,44,Local Bus,per_trip,30.1,71.6,23.8,2025-05-12 07:22:25
143,45,Taxi,per_km,13.2,80.3,6.7,2026-02-06 19:16:20
144,45,Auto Rickshaw,per_km,12.6,74.4,9.2,2025-10-27 09:44:31
145,45,Local Bus,per_trip,32.4,64.6,26.6,2025-05-18 00:53:43
146,46,Taxi,per_km,23.1,55.4,29.6,2025-04-10 09:55:36
147,46,Auto Rickshaw,per_km,12.2,82.9,3.8,2025-07-30 23:03:00
148,46,Local Bus,per_trip,23.6,77.0,6.6,2025-03-11 17:15:35
149,47,Taxi,per_km,21.5,82.1,3.5,2026-01-25 01:41:17
150,47,Auto Rickshaw,per_km,10.6,91.1,0,2026-01-19 10:37:19
151,47,Local Bus,per_trip,31.5,70.4,13.2,2026-01-02 08:09:30
152,48,Taxi,per_km,13.2,45.6,41.9,2025-12-18 15:02:28
153,48,Auto Rickshaw,per_km,9.0,70.0,12.7,2025-07-24 17:40:46
154,48,Local Bus,per_trip,27.7,49.7,23.5,2025-09-03 10:50:45
155,48,Ferry,per_trip,58.7,62.3,39.5,2025-06-08 02:58:56
156,49,Taxi,per_km,24.2,80.0,5.7,2026-06-26 23:55:36
157,49,Auto Rickshaw,per_km,10.6,75.2,9.8,2025-03-26 08:08:22
158,49,Local Bus,per_trip,34.1,84.7,0.2,2025-09-29 10:04:27
159,50,Taxi,per_km,19.0,49.1,51.9,2025-08-29 06:58:50
160,50,Auto Rickshaw,per_km,12.9,44.2,33.5,2025-10-16 15:35:42
161,50,Local Bus,per_trip,32.6,65.4,16.7,2026-03-16 05:06:33
162,50,Ferry,per_trip,239.9,44.3,36.9,2025-12-15 16:18:26
163,51,Taxi,per_km,18.0,71.2,23.5,2026-03-16 01:27:44
164,51,Auto Rickshaw,per_km,17.0,73.3,8.1,2025-09-12 01:24:53
165,51,Local Bus,per_trip,28.9,71.1,9.6,2025-10-22 16:39:23
166,52,Taxi,per_km,24.0,47.2,43.4,2025-08-06 11:18:10
167,52,Auto Rickshaw,per_km,12.6,65.0,19.4,2025-02-03 10:57:25
168,52,Local Bus,per_trip,20.7,48.9,60.9,2025-01-12 18:19:03
169,53,Taxi,per_km,16.8,70.7,18.8,2025-03-07 04:00:10
170,53,Auto Rickshaw,per_km,13.3,84.0,1.4,2025-11-05 10:41:11
171,53,Local Bus,per_trip,34.3,83.0,3.0,2026-02-05 08:01:57
172,53,Ferry,per_trip,209.8,47.0,37.8,2026-04-14 20:31:30
173,54,Taxi,per_km,24.2,69.0,13.2,2025-03-24 14:40:48
174,54,Auto Rickshaw,per_km,14.5,85.4,0,2026-06-26 19:22:37
175,54,Local Bus,per_trip,16.2,97.1,0,2025-05-24 10:36:59
176,54,Ferry,per_trip,158.4,54.0,45.0,2025-10-26 19:53:08
177,55,Taxi,per_km,17.6,59.4,15.5,2025-09-05 21:22:03
178,55,Auto Rickshaw,per_km,9.4,84.7,0.2,2025-11-15 08:35:07
179,55,Local Bus,per_trip,12.9,83.0,1.3,2026-05-28 05:11:04
180,55,Ferry,per_trip,153.4,92.6,0,2025-09-14 02:52:45
181,56,Taxi,per_km,13.5,65.3,31.7,2026-01-10 10:58:34
182,56,Auto Rickshaw,per_km,11.6,39.7,80.9,2025-11-13 03:45:20
183,56,Local Bus,per_trip,18.1,54.7,26.3,2026-04-27 15:43:23
184,56,Ferry,per_trip,257.9,44.9,39.2,2025-07-30 21:41:41
185,57,Taxi,per_km,20.9,76.7,8.3,2025-01-15 14:13:43
186,57,Auto Rickshaw,per_km,10.7,70.5,14.1,2025-12-27 09:38:47
187,57,Local Bus,per_trip,19.9,62.0,23.6,2025-08-09 04:30:06
188,58,Taxi,per_km,21.1,86.6,0,2026-04-11 07:56:40
189,58,Auto Rickshaw,per_km,9.2,63.9,21.3,2025-01-12 11:37:23
190,58,Local Bus,per_trip,36.0,60.4,31.4,2025-09-30 12:48:47
191,59,Taxi,per_km,19.0,66.1,16.3,2026-05-04 05:46:34
192,59,Auto Rickshaw,per_km,8.0,65.3,35.5,2025-09-08 01:01:18
193,59,Local Bus,per_trip,35.0,64.4,33.8,2025-01-08 02:20:57
194,59,Ferry,per_trip,229.1,55.2,49.6,2026-03-02 11:16:14
195,60,Taxi,per_km,24.3,72.9,10.5,2025-05-17 18:44:17
196,60,Auto Rickshaw,per_km,17.9,70.1,15.0,2026-01-10 18:58:44
197,60,Local Bus,per_trip,12.0,65.8,17.2,2025-07-25 13:13:43
198,61,Taxi,per_km,14.3,76.3,9.9,2026-03-10 04:51:47
199,61,Auto Rickshaw,per_km,14.5,52.9,37.7,2025-09-09 12:35:16
200,61,Local Bus,per_trip,17.5,42.5,75.7,2026-06-30 22:34:54
201,61,Ferry,per_trip,267.6,56.4,24.5,2025-01-04 10:54:32
202,62,Taxi,per_km,15.1,78.5,8.4,2026-06-10 20:15:43
203,62,Auto Rickshaw,per_km,8.5,78.3,6.4,2025-06-08 05:49:48
204,62,Local Bus,per_trip,29.2,58.9,31.2,2026-02-16 03:47:42
205,63,Taxi,per_km,16.4,77.0,11.6,2025-04-01 10:19:22
206,63,Auto Rickshaw,per_km,16.5,78.4,5.8,2025-09-02 02:56:26
207,63,Local Bus,per_trip,28.7,73.3,18.9,2026-01-27 01:19:35
208,64,Taxi,per_km,15.8,61.6,38.8,2025-06-01 06:23:42
209,64,Auto Rickshaw,per_km,10.4,81.8,2.2,2025-09-05 08:14:10
210,64,Local Bus,per_trip,33.2,66.8,11.7,2025-06-10 16:07:15
211,65,Taxi,per_km,23.7,68.5,22.5,2025-09-24 21:25:28
212,65,Auto Rickshaw,per_km,15.1,95.1,0,2025-08-03 15:01:35
213,65,Local Bus,per_trip,16.3,73.2,18.5,2025-04-05 04:05:32
214,66,Taxi,per_km,18.9,72.4,12.5,2025-12-27 21:42:03
215,66,Auto Rickshaw,per_km,13.2,62.0,38.5,2025-01-10 06:45:53
216,66,Local Bus,per_trip,35.0,78.7,7.9,2025-09-07 10:36:58
217,67,Taxi,per_km,13.7,58.6,16.3,2026-01-23 14:56:02
218,67,Auto Rickshaw,per_km,9.0,54.7,26.2,2026-03-08 03:04:52
219,67,Local Bus,per_trip,30.7,77.2,13.4,2026-03-07 01:29:40
220,68,Taxi,per_km,13.5,59.0,38.9,2025-08-23 02:37:38
221,68,Auto Rickshaw,per_km,15.7,88.4,0,2026-02-22 01:40:34
222,68,Local Bus,per_trip,23.7,78.2,8.9,2025-12-06 03:49:30
223,69,Taxi,per_km,19.9,78.9,3.8,2025-12-21 20:52:21
224,69,Auto Rickshaw,per_km,13.7,81.9,4.5,2026-02-03 23:14:56
225,69,Local Bus,per_trip,8.6,55.8,23.9,2025-01-23 20:26:34
226,70,Taxi,per_km,21.4,75.9,14.3,2026-02-13 20:11:45
227,70,Auto Rickshaw,per_km,17.2,66.0,18.4,2025-09-03 19:27:05
228,70,Local Bus,per_trip,14.2,51.9,27.0,2026-04-21 00:42:12
229,71,Taxi,per_km,20.9,80.9,6.0,2026-01-04 22:58:07
230,71,Auto Rickshaw,per_km,17.0,69.3,14.6,2026-06-26 19:41:48
231,71,Local Bus,per_trip,9.2,41.5,27.2,2025-11-11 06:30:58
232,71,Ferry,per_trip,205.4,82.9,2.7,2025-02-22 05:56:39
233,72,Taxi,per_km,15.6,87.6,0,2025-12-27 20:15:36
234,72,Auto Rickshaw,per_km,13.6,85.1,0,2025-10-31 10:16:57
235,72,Local Bus,per_trip,27.6,62.3,37.7,2025-01-23 22:21:14
236,73,Taxi,per_km,13.0,81.4,4.0,2025-10-28 23:06:03
237,73,Auto Rickshaw,per_km,13.7,59.6,19.9,2026-03-13 22:08:10
238,73,Local Bus,per_trip,30.0,54.4,49.3,2025-05-29 17:46:55
239,74,Taxi,per_km,23.3,48.4,59.3,2026-04-03 03:30:55
240,74,Auto Rickshaw,per_km,14.4,70.3,13.6,2025-04-29 01:39:42
241,74,Local Bus,per_trip,26.6,85.8,0,2025-07-10 19:21:24
242,75,Taxi,per_km,21.0,75.8,9.7,2026-06-14 04:08:55
243,75,Auto Rickshaw,per_km,16.2,80.1,5.5,2025-03-15 05:22:03
244,75,Local Bus,per_trip,36.8,81.7,3.7,2025-03-26 17:05:45
245,75,Ferry,per_trip,290.4,79.2,3.8,2026-02-03 13:30:37
246,76,Taxi,per_km,21.8,54.4,40.3,2026-05-28 04:02:13
247,76,Auto Rickshaw,per_km,14.4,78.1,8.1,2025-08-10 02:48:32
248,76,Local Bus,per_trip,21.8,75.7,5.8,2026-06-13 14:05:40
249,77,Taxi,per_km,21.6,80.2,8.2,2025-03-23 01:53:26
250,77,Auto Rickshaw,per_km,9.2,50.3,37.8,2025-04-17 12:20:02
251,77,Local Bus,per_trip,12.9,71.9,21.8,2025-09-08 18:11:21
252,78,Taxi,per_km,13.2,78.9,5.4,2026-06-06 13:10:05
253,78,Auto Rickshaw,per_km,14.6,82.9,2.7,2025-02-14 13:46:32
254,78,Local Bus,per_trip,13.2,83.9,0.7,2026-02-25 02:22:18
255,79,Taxi,per_km,15.5,58.2,19.3,2025-10-25 15:05:48
256,79,Auto Rickshaw,per_km,17.6,89.1,0,2025-06-25 23:04:29
257,79,Local Bus,per_trip,9.3,79.7,5.1,2025-08-31 07:32:04
258,80,Taxi,per_km,18.7,53.2,35.8,2026-02-10 10:25:26
259,80,Auto Rickshaw,per_km,13.6,65.7,18.5,2025-08-06 01:07:14
260,80,Local Bus,per_trip,36.4,83.0,3.0,2026-05-31 19:35:09
261,81,Taxi,per_km,16.3,65.1,28.3,2026-06-05 23:42:30
262,81,Auto Rickshaw,per_km,12.5,37.1,79.2,2025-06-13 07:03:21
263,81,Local Bus,per_trip,36.4,85.2,0,2025-05-02 09:37:38
264,82,Taxi,per_km,20.8,56.9,32.6,2025-10-16 15:28:10
265,82,Auto Rickshaw,per_km,10.3,91.6,0,2025-01-15 09:53:28
266,82,Local Bus,per_trip,9.9,62.0,39.5,2025-01-07 17:29:30
267,83,Taxi,per_km,24.8,78.2,6.1,2026-05-11 19:38:39
268,83,Auto Rickshaw,per_km,13.6,57.0,21.1,2025-05-15 21:31:35
269,83,Local Bus,per_trip,8.3,90.0,0,2025-07-08 21:59:33
270,84,Taxi,per_km,21.3,82.7,2.6,2025-03-16 04:54:17
271,84,Auto Rickshaw,per_km,8.2,56.9,44.8,2026-04-11 22:37:39
272,84,Local Bus,per_trip,28.1,78.9,3.9,2025-01-18 07:55:27
273,85,Taxi,per_km,23.1,52.5,31.0,2026-02-19 21:01:00
274,85,Auto Rickshaw,per_km,8.1,78.3,7.8,2025-01-26 05:47:37
275,85,Local Bus,per_trip,18.0,66.9,20.6,2026-03-28 05:33:39
276,86,Taxi,per_km,13.6,92.3,0,2025-07-06 02:29:36
277,86,Auto Rickshaw,per_km,17.4,42.7,43.2,2026-02-24 15:45:23
278,86,Local Bus,per_trip,25.0,95.8,0,2026-02-10 21:47:28
279,86,Ferry,per_trip,128.1,81.7,3.2,2026-01-22 22:51:19
280,87,Taxi,per_km,15.0,63.1,32.0,2025-05-09 20:14:31
281,87,Auto Rickshaw,per_km,10.1,64.5,17.8,2025-07-12 17:26:45
282,87,Local Bus,per_trip,23.8,63.0,15.0,2025-05-30 16:56:33
283,88,Taxi,per_km,16.9,80.5,6.4,2025-12-19 09:55:06
284,88,Auto Rickshaw,per_km,16.2,61.7,40.2,2026-05-29 23:27:45
285,88,Local Bus,per_trip,19.7,73.5,10.4,2025-09-12 08:42:22
286,88,Ferry,per_trip,275.3,61.9,18.8,2025-10-18 06:55:16
287,89,Taxi,per_km,22.5,69.8,19.6,2026-04-14 14:30:07
288,89,Auto Rickshaw,per_km,15.4,68.4,26.4,2025-04-03 09:29:02
289,89,Local Bus,per_trip,34.5,46.8,50.9,2025-08-17 18:28:15
290,90,Taxi,per_km,20.8,74.6,12.7,2025-06-13 15:30:05
291,90,Auto Rickshaw,per_km,17.9,36.8,46.1,2025-12-22 06:38:21
292,90,Local Bus,per_trip,24.0,45.4,28.0,2025-05-24 23:42:40
293,91,Taxi,per_km,13.3,80.3,4.4,2026-05-17 00:44:49
294,91,Auto Rickshaw,per_km,12.5,87.3,0,2025-03-12 05:32:22
295,91,Local Bus,per_trip,32.0,59.6,35.5,2026-06-28 18:31:44
296,92,Taxi,per_km,23.7,59.5,17.1,2025-01-01 01:44:27
297,92,Auto Rickshaw,per_km,10.5,90.9,0,2026-03-12 18:50:48
298,92,Local Bus,per_trip,24.7,41.6,76.7,2026-02-28 12:18:53
299,93,Taxi,per_km,13.5,54.4,43.2,2025-04-13 01:15:12
300,93,Auto Rickshaw,per_km,13.1,67.1,31.1,2025-08-05 18:05:16
301,93,Local Bus,per_trip,35.4,54.4,24.8,2025-04-27 12:52:34
302,94,Taxi,per_km,19.6,77.8,6.4,2026-06-08 08:55:21
303,94,Auto Rickshaw,per_km,9.6,89.6,0,2025-06-01 07:21:52
304,94,Local Bus,per_trip,29.1,84.2,0.7,2025-05-30 05:01:43
305,95,Taxi,per_km,19.0,97.3,0,2025-06-14 23:29:30
306,95,Auto Rickshaw,per_km,13.0,84.8,0.3,2025-02-19 00:18:00
307,95,Local Bus,per_trip,33.5,90.3,0,2025-01-08 11:25:50
308,96,Taxi,per_km,13.9,84.0,0.7,2025-03-11 06:07:52
309,96,Auto Rickshaw,per_km,14.9,80.5,4.1,2025-11-12 08:49:01
310,96,Local Bus,per_trip,38.5,88.3,0,2025-04-25 08:31:46
311,97,Taxi,per_km,24.9,49.8,57.4,2025-11-09 06:34:03
312,97,Auto Rickshaw,per_km,11.3,66.8,21.1,2026-01-28 23:24:10
313,97,Local Bus,per_trip,36.4,63.0,14.7,2026-02-28 04:24:08
314,98,Taxi,per_km,23.3,52.3,38.5,2025-04-30 18:38:49
315,98,Auto Rickshaw,per_km,14.8,84.4,1.0,2025-10-29 20:47:03
316,98,Local Bus,per_trip,6.0,68.7,17.9,2026-02-21 23:26:11
317,99,Taxi,per_km,17.9,88.8,0,2025-10-03 10:20:21
318,99,Auto Rickshaw,per_km,17.9,62.3,28.0,2025-04-28 21:59:41
319,99,Local Bus,per_trip,29.3,77.2,7.0,2026-03-30 07:59:21
320,100,Taxi,per_km,19.9,72.6,9.6,2026-02-28 00:52:47
321,100,Auto Rickshaw,per_km,15.1,60.5,19.9,2025-02-06 08:07:55
322,100,Local Bus,per_trip,13.0,86.5,0,2025-09-17 22:07:50
323,101,Taxi,per_km,14.7,70.9,19.0,2026-04-14 03:44:18
324,101,Auto Rickshaw,per_km,8.2,63.7,20.9,2025-07-19 11:44:59
325,101,Local Bus,per_trip,12.5,83.9,1.8,2026-02-01 06:40:24
326,102,Taxi,per_km,15.0,44.7,40.8,2025-01-10 20:56:54
327,102,Auto Rickshaw,per_km,14.1,94.3,0,2025-08-11 05:57:43
328,102,Local Bus,per_trip,38.4,72.6,18.7,2025-09-02 15:53:26
329,103,Taxi,per_km,23.9,74.4,16.9,2025-05-17 00:29:22
330,103,Auto Rickshaw,per_km,8.3,78.5,4.4,2025-02-28 13:46:56
331,103,Local Bus,per_trip,18.4,84.5,0.4,2025-04-11 15:18:15
332,104,Taxi,per_km,18.9,52.3,31.0,2025-11-30 20:08:19
333,104,Auto Rickshaw,per_km,14.7,82.6,4.0,2025-12-03 21:51:00
334,104,Local Bus,per_trip,35.4,59.3,37.0,2025-07-07 18:33:00
335,105,Taxi,per_km,21.3,43.9,33.3,2025-08-23 11:53:30
336,105,Auto Rickshaw,per_km,17.0,77.9,4.9,2025-03-08 21:13:53
337,105,Local Bus,per_trip,34.4,68.8,17.4,2025-10-11 03:24:42
338,106,Taxi,per_km,21.2,75.7,11.8,2026-05-26 20:30:04
339,106,Auto Rickshaw,per_km,14.3,64.6,12.9,2026-03-10 20:06:23
340,106,Local Bus,per_trip,30.5,51.0,43.2,2025-02-16 07:41:44
341,107,Taxi,per_km,21.2,91.5,0,2025-09-19 08:45:51
342,107,Auto Rickshaw,per_km,8.8,69.9,23.3,2025-02-25 18:35:54
343,107,Local Bus,per_trip,29.9,62.9,18.3,2025-11-13 14:55:12
344,108,Taxi,per_km,22.8,60.1,41.9,2025-02-26 11:52:18
345,108,Auto Rickshaw,per_km,10.9,85.4,0,2025-12-17 11:36:40
346,108,Local Bus,per_trip,5.4,42.6,36.1,2025-08-10 14:53:05
347,108,Ferry,per_trip,121.6,86.5,0,2025-03-10 17:53:36
348,109,Taxi,per_km,19.8,49.8,33.9,2026-05-23 18:27:49
