dish_id,dish_name,city_id,category,price_min_inr,price_max_inr,trust_score,scam_markup_pct,timestamp
32,Macher Jhol,86,Local Eatery,163,223,55.0,19.7,2026-01-05 01:11:00
33,Chingri Malai Curry,19,Roadside Stall,27,86,71.6,12.0,2026-05-25 13:48:27
34,Spicy Filter Coffee,2,Sweet Shop,162,290,46.7,34.4,2025-04-05 06:17:17
35,Bamboo Shoot Curry,117,Roadside Stall,53,83,90.1,0,2026-04-21 20:40:01
36,Festival Kachori,130,Local Eatery,155,286,69.9,22.7,2026-05-11 06:52:14
37,Village-style Bebinca,71,Local Eatery,95,217,49.5,33.5,2025-07-31 01:08:12
38,Festival Aloo Posto,86,Local Eatery,89,197,78.4,9.6,2025-02-19 21:18:45
39,Classic Mysore Pak,107,Fine Dining,563,996,83.5,1.6,2026-03-30 16:01:45
40,Local Favourite Kothu Parotta,6,Mid-range Restaurant,302,697,67.5,29.2,2025-11-22 11:07:22
41,Dalma,138,Local Eatery,122,188,62.2,27.0,2025-10-30 00:49:25
42,Litti,87,Fine Dining,1441,1712,93.1,0,2025-11-03 01:04:11
43,Spicy Thukpa,7,Fine Dining,686,798,61.5,23.3,2025-12-20 04:12:35
44,Local Favourite Axone,84,Fine Dining,758,2477,49.9,21.9,2026-02-23 23:29:59
45,Axone,14,Sweet Shop,40,65,90.0,0,2025-01-16 19:54:39
46,Authentic Aloo Paratha,40,Street Food,47,116,78.5,9.9,2025-05-11 07:48:58
47,Bebinca,30,Street Food,23,72,74.5,17.7,2025-10-19 12:13:43
48,Special Tandoori Roti,102,Sweet Shop,92,154,78.5,6.3,2026-06-16 11:30:46
49,Bebinca,31,Mid-range Restaurant,422,651,77.3,5.3,2026-05-18 23:04:52
50,Rosogolla,88,Street Food,75,131,76.5,13.6,2025-04-29 19:57:42
51,Chettinad Chicken,112,Mid-range Restaurant,425,682,70.5,23.1,2026-04-06 04:31:38
52,Puran Poli,69,Street Food,55,122,60.7,28.1,2026-04-20 01:24:27
53,Homestyle Lassi,98,Mid-range Restaurant,243,502,59.0,40.5,2025-09-22 08:22:33
54,Kolhapuri Mutton,72,Mid-range Restaurant,155,694,89.9,0,2025-11-12 16:22:09
55,Malai Kofta,126,Sweet Shop,212,347,69.8,9.4,2025-08-17 12:56:55
56,Traditional Vada Sambar,57,Roadside Stall,38,108,73.7,11.4,2026-03-04 11:59:05
57,Extra Cheesy Axone,85,Mid-range Restaurant,268,339,79.3,5.6,2026-02-21 05:13:41
58,Appam with Stew,48,Mid-range Restaurant,418,572,93.0,0,2025-08-19 02:26:03
59,Family Recipe Curd Rice,59,Sweet Shop,166,208,62.3,40.2,2026-03-06 19:21:31
60,Goan Fish Curry,75,Fine Dining,605,2402,40.8,41.6,2026-01-07 19:52:46
61,Pesarattu,113,Mid-range Restaurant,394,462,83.0,2.2,2025-02-27 12:59:30
62,Bamboo Shoot Curry,14,Mid-range Restaurant,193,330,52.9,48.7,2026-04-16 22:34:48
63,Local Favourite Pongal,58,Fine Dining,804,2019,94.5,0,2026-04-28 08:47:18
64,Dahi Vada,16,Local Eatery,140,204,61.8,16.2,2025-07-06 07:24:39
65,Special Pitha,45,Fine Dining,961,2382,75.1,9.4,2025-06-29 19:01:47
66,Goan Fish Curry,74,Fine Dining,572,1989,60.1,22.8,2026-05-01 11:55:32
67,Royal Mysore Pak,51,Sweet Shop,68,214,83.2,1.2,2025-05-09 21:01:29
68,Bebinca,79,Fine Dining,627,1596,78.2,9.8,2025-07-31 11:02:12
69,Signature Malai Kofta,129,Roadside Stall,17,82,79.7,7.0,2025-01-21 02:09:23
70,Quick-bite Thepla,24,Street Food,54,137,45.4,59.7,2026-01-01 10:46:15
71,Roadside Chaat Papdi,133,Roadside Stall,42,114,91.8,0,2025-11-14 04:09:36
72,Aloo Posto,86,Mid-range Restaurant,360,623,62.9,38.3,2026-03-04 06:32:38
73,Special Zan,10,Mid-range Restaurant,209,614,68.1,20.6,2025-01-01 21:27:26
74,Spicy Chingri Malai Curry,139,Roadside Stall,38,111,76.2,13.3,2025-06-08 02:36:02
75,Bhel Puri,69,Fine Dining,1401,2403,53.1,56.4,2026-04-18 22:11:25
76,Deluxe Dal Bafla,62,Roadside Stall,41,62,59.7,40.7,2025-03-30 03:04:06
77,Authentic Amritsari Kulcha,119,Sweet Shop,104,374,78.7,6.9,2026-01-10 18:26:38
78,Extra Cheesy Aloo Paratha,121,Fine Dining,695,1932,72.1,21.4,2025-02-24 05:21:15
79,Spicy Bebinca,71,Roadside Stall,32,42,62.7,21.4,2026-04-01 21:18:43
80,Extra Cheesy Paneer Tikka,126,Mid-range Restaurant,320,612,80.7,4.5,2025-09-07 22:21:52
81,Quick-bite Puttu Kadala,49,Fine Dining,544,1205,80.1,7.1,2025-10-24 02:39:49
82,Paneer Tikka,99,Local Eatery,124,285,65.0,14.4,2025-12-08 23:54:09
83,Extra Cheesy Bhel Puri,26,Local Eatery,112,289,91.8,0,2025-07-25 20:22:57
84,Dahi Vada,87,Mid-range Restaurant,423,627,90.4,0,2026-01-15 00:00:01
85,Premium Rosogolla,139,Sweet Shop,205,288,96.2,0,2025-12-04 01:48:52
86,Royal Bebinca,26,Sweet Shop,106,130,46.2,60.3,2025-08-16 20:46:18
87,Spicy Mutton Rogan Josh,92,Roadside Stall,41,74,56.5,19.8,2025-10-25 03:08:33
88,Quick-bite Kadhi Bafla,62,Fine Dining,1153,1683,70.3,20.6,2025-12-28 08:56:57
89,Festival Modak,74,Fine Dining,1467,2184,94.1,0,2025-11-26 13:41:30
90,Deluxe Kadhi Bafla,65,Fine Dining,1373,2372,52.0,34.9,2025-10-06 19:29:01
91,Deluxe Goan Fish Curry,76,Sweet Shop,131,281,39.7,74.2,2025-02-08 02:15:03
92,Kadhi Chawal,128,Mid-range Restaurant,262,597,57.7,24.6,2026-05-28 00:02:04
93,Street-side Amritsari Kulcha,36,Fine Dining,534,1730,66.4,14.1,2025-08-18 05:15:27
94,Spicy Pitha,84,Local Eatery,160,263,72.9,20.5,2025-05-08 19:19:49
95,Kadhi Bafla,66,Mid-range Restaurant,208,457,91.2,0,2025-06-25 05:45:45
96,Grandma's Malai Kofta,102,Fine Dining,514,1065,73.1,13.6,2026-06-07 14:25:48
97,Grandma's Chila,68,Local Eatery,120,136,76.0,15.6,2025-09-12 18:28:48
98,Uttapam,57,Mid-range Restaurant,359,428,54.5,52.9,2025-08-25 09:46:01
99,Royal Amritsari Kulcha,127,Roadside Stall,23,82,70.1,20.9,2026-06-25 23:24:09
100,Shorshe Ilish,139,Local Eatery,173,236,77.1,12.6,2026-04-24 04:35:20
101,Jadoh,105,Local Eatery,116,239,90.1,0,2025-03-19 04:06:15
102,Grandma's Malai Kofta,95,Mid-range Restaurant,247,319,90.0,0,2025-03-13 04:54:59
103,Homestyle Payasam,55,Mid-range Restaurant,274,348,81.6,2.9,2026-03-07 11:10:55
104,Kothu Parotta,54,Local Eatery,102,149,81.7,4.3,2025-08-04 08:46:39
105,Festival Paneer Tikka,38,Local Eatery,74,253,85.0,0,2025-10-06 06:07:12
106,Classic Kothu Parotta,61,Mid-range Restaurant,176,315,80.0,6.2,2025-02-19 08:48:27
107,Grandma's Chaat Papdi,122,Street Food,77,115,89.7,0,2026-05-27 18:50:36
108,Sandesh,134,Street Food,27,98,84.1,1.0,2025-03-25 20:33:15
109,Chaat Papdi,126,Mid-range Restaurant,225,268,53.5,42.5,2026-03-31 15:59:19
110,Premium Smoked Pork,84,Fine Dining,1017,2266,69.1,24.7,2025-03-30 20:49:58
111,Mysore Pak,56,Fine Dining,847,1785,67.9,25.2,2025-08-31 18:19:24
112,Roadside Pesarattu,110,Local Eatery,147,278,48.5,58.3,2025-03-14 09:56:06
113,Filter Coffee,111,Roadside Stall,18,103,90.6,0,2026-06-05 09:57:09
114,Misal Pav,32,Fine Dining,1388,1503,91.7,0,2025-10-01 03:09:36
115,Village-style Khandvi,27,Sweet Shop,153,220,84.1,0.9,2026-03-09 01:32:24
116,Roadside Amritsari Kulcha,95,Fine Dining,1365,1428,75.6,13.1,2026-06-23 15:14:23
117,Family Recipe Vada Pav,69,Mid-range Restaurant,323,512,39.1,75.5,2026-03-16 20:59:25
118,Thukpa,103,Street Food,31,136,72.9,12.7,2025-12-19 08:34:13
119,Grandma's Litti Chokha,88,Mid-range Restaurant,193,655,46.9,30.1,2026-04-25 21:20:18
120,Special Fish Tenga,13,Sweet Shop,138,272,75.6,10.3,2025-06-17 10:29:48
121,Grandma's Amritsari Kulcha,132,Mid-range Restaurant,399,678,77.5,4.9,2025-11-04 00:14:37
122,Chef's Rosogolla,15,Local Eatery,158,203,80.8,4.0,2025-04-04 04:40:13
123,Spicy Meen Curry,2,Fine Dining,1045,2496,60.0,31.8,2026-06-03 21:19:13
124,Rajma Chawal,91,Street Food,75,87,70.3,10.2,2025-09-01 03:52:23
125,Kothu Parotta,110,Fine Dining,796,1041,68.1,29.7,2025-05-14 11:56:53
126,Grandma's Pitha,118,Street Food,51,116,74.9,12.4,2025-11-04 09:37:33
127,Classic Pitha,80,Local Eatery,69,209,76.4,10.6,2025-05-31 14:37:37
128,Authentic Aloo Posto,90,Local Eatery,92,152,56.7,22.2,2026-05-25 03:34:25
129,Signature Dal Bafla,20,Roadside Stall,63,110,69.9,25.8,2026-03-15 10:53:22
130,Classic Fish Tenga,83,Street Food,80,118,76.4,13.4,2026-04-05 08:51:48
131,Village-style Aloo Posto,15,Fine Dining,962,1049,47.4,60.1,2025-03-01 14:22:10
132,Premium Khandvi,24,Fine Dining,1094,2239,90.4,0,2025-02-01 20:43:07
133,Chef's Kothu Parotta,116,Fine Dining,1013,1331,90.7,0,2025-09-24 18:08:38
134,Street-side Dal Bafla,22,Fine Dining,949,2032,72.6,9.8,2025-10-17 14:27:52
135,Misal Pav,73,Sweet Shop,183,206,81.7,4.5,2025-02-21 04:41:09
136,Thukpa,85,Mid-range Restaurant,279,659,84.3,1.2,2026-04-14 03:09:26
137,Special Lassi,39,Local Eatery,177,231,64.0,29.1,2026-05-30 07:05:38
138,Paneer Tikka,101,Street Food,59,140,66.9,28.1,2025-04-10 06:14:54
139,Spicy Macher Jhol,135,Street Food,66,115,57.1,23.9,2026-01-13 16:44:49
140,Authentic Puttu Kadala,50,Mid-range Restaurant,201,470,81.0,6.4,2026-02-13 23:15:39
141,Fish Tenga,10,Roadside Stall,23,109,66.9,14.4,2026-06-23 03:34:43
142,Street-side Chaat Papdi,43,Sweet Shop,214,284,91.8,0,2025-12-15 16:37:25
143,Traditional Idiyappam,60,Fine Dining,1425,1832,66.6,32.0,2025-12-09 05:19:51
144,Local Favourite Kadhi Chawal,119,Fine Dining,1489,1664,82.8,3.4,2025-04-18 11:56:08
145,Poha Jalebi,65,Roadside Stall,21,97,84.3,0.7,2025-05-05 12:26:18
146,Village-style Sol Kadhi,70,Fine Dining,593,2467,59.5,29.1,2025-09-29 12:44:17
147,Street-side Smoked Pork,7,Mid-range Restaurant,270,477,95.4,0,2025-01-22 21:27:14
148,Thukpa,82,Local Eatery,64,147,87.8,0,2025-04-18 19:16:59
149,Premium Chaat Papdi,121,Street Food,22,64,59.2,20.1,2026-04-18 22:20:51
150,Shorshe Ilish,136,Local Eatery,98,139,46.4,42.6,2026-04-29 18:01:49
151,Thukpa,118,Fine Dining,1111,2218,41.7,52.8,2025-07-07 22:03:13
152,Spicy Kadhi Chawal,37,Mid-range Restaurant,273,575,68.6,22.9,2025-03-08 11:57:35
153,Aloo Posto,135,Roadside Stall,47,59,67.5,20.4,2026-05-09 17:45:44
154,Mutton Rogan Josh,100,Mid-range Restaurant,184,370,60.6,33.9,2025-03-22 12:26:04
155,Street-side Litti Chokha,86,Mid-range Restaurant,239,674,81.3,4.3,2026-06-25 02:59:42
156,Authentic Dal Makhani,123,Fine Dining,537,1147,58.4,41.2,2025-02-02 13:11:00
157,Village-style Jadoh,81,Roadside Stall,45,87,45.0,55.1,2025-08-11 05:29:37
158,Classic Chole Bhature,92,Mid-range Restaurant,373,587,80.0,8.4,2025-10-28 07:34:51
159,Litti Chokha,87,Mid-range Restaurant,415,561,82.2,4.1,2025-03-03 07:18:21
160,Family Recipe Payasam,111,Mid-range Restaurant,202,252,64.8,19.3,2025-12-13 08:28:20
161,Extra Cheesy Chettinad Chicken,110,Street Food,65,130,62.3,40.3,2025-02-14 13:13:54
162,Grandma's Chila,20,Sweet Shop,203,253,90.3,0,2026-04-17 21:58:47
163,Authentic Idli Sambar,113,Sweet Shop,123,318,67.2,22.8,2026-04-15 23:47:06
164,Grandma's Chaat Papdi,40,Street Food,37,114,66.5,18.1,2025-08-05 11:09:13
165,Bhutte ka Kees,64,Fine Dining,1030,1832,87.6,0,2025-07-22 04:09:10
166,Premium Appam with Stew,115,Fine Dining,704,965,54.2,21.2,2025-05-15 02:32:52
167,Uttapam,114,Sweet Shop,46,337,73.3,19.5,2025-05-03 08:06:38
168,Grandma's Chhena Poda,45,Street Food,45,72,60.3,29.5,2025-10-08 07:35:55
169,Festival Chaat Papdi,95,Street Food,28,77,67.8,25.1,2026-01-07 18:57:51
170,Shorshe Ilish,135,Street Food,36,86,76.7,9.5,2026-06-13 06:09:01
171,Mutton Rogan Josh,133,Roadside Stall,55,102,57.2,48.9,2025-12-03 00:35:21
172,Royal Chole Bhature,129,Mid-range Restaurant,234,326,64.6,29.6,2025-09-26 18:20:15
173,Special Kadhi Chawal,133,Sweet Shop,171,251,53.4,30.4,2026-02-19 08:45:04
174,Family Recipe Bhel Puri,24,Roadside Stall,24,55,77.2,11.4,2026-04-16 00:36:24
175,Quick-bite Kosha Mangsho,87,Street Food,30,45,89.9,0,2025-07-25 13:32:37
176,Kothu Parotta,54,Street Food,83,149,76.2,8.3,2025-08-23 15:26:32
177,Local Favourite Aloo Paratha,124,Street Food,27,57,69.5,18.3,2025-06-08 11:15:52
178,Authentic Dahi Vada,88,Sweet Shop,111,297,92.4,0,2025-10-15 19:22:11
179,Royal Malai Kofta,132,Fine Dining,625,1182,69.9,11.6,2025-02-09 07:21:03
180,Premium Misal Pav,75,Local Eatery,164,215,88.9,0,2025-05-28 10:45:50
181,Village-style Golgappa,41,Mid-range Restaurant,404,425,50.6,36.9,2025-12-22 03:23:48
182,Quick-bite Sabudana Khichdi,62,Street Food,56,129,75.2,15.8,2026-06-07 08:41:33
183,Festival Kadhi Chawal,121,Street Food,75,102,85.8,0,2025-11-10 05:12:02
184,Local Favourite Chole Bhature,94,Roadside Stall,27,83,73.7,7.8,2026-01-27 16:00:15
185,Idiyappam,116,Roadside Stall,58,107,52.9,56.8,2025-11-02 22:53:50
186,Lassi,96,Local Eatery,85,249,72.1,15.5,2025-02-05 04:30:56
187,Bamboo Shoot Curry,10,Roadside Stall,44,73,75.5,11.6,2025-09-12 17:43:35
188,Bamboo Shoot Curry,82,Sweet Shop,106,288,72.1,15.6,2026-01-16 11:24:12
189,Homestyle Zan,77,Sweet Shop,58,281,74.8,15.9,2026-06-19 10:03:47
190,Signature Bebinca,7,Sweet Shop,178,335,59.8,16.7,2026-01-09 04:12:52
191,Nihari,44,Fine Dining,651,2343,77.9,4.5,2026-06-29 02:39:22
192,Homestyle Thepla,29,Fine Dining,655,1510,78.3,7.3,2026-04-20 22:46:37
193,Authentic Chole Bhature,121,Roadside Stall,35,106,72.7,12.0,2025-05-15 12:21:15
194,Classic Naga Chutney,118,Sweet Shop,214,398,76.7,11.9,2026-04-19 20:39:06
195,Traditional Tandoori Roti,124,Mid-range Restaurant,265,427,81.0,5.8,2026-06-21 03:00:16
196,Signature Lassi,126,Sweet Shop,100,257,53.2,44.9,2025-10-22 22:00:45
197,Authentic Mutton Rogan Josh,102,Mid-range Restaurant,190,377,88.2,0,2026-01-08 02:41:05
198,Festival Appam with Stew,55,Roadside Stall,59,86,54.3,41.1,2026-04-01 19:18:48
199,Sabudana Khichdi,62,Roadside Stall,29,120,60.1,17.9,2025-09-14 13:07:09
200,Authentic Amritsari Kulcha,121,Roadside Stall,25,87,77.1,13.1,2026-01-05 11:41:02
201,Deluxe Tandoori Roti,123,Sweet Shop,45,100,77.0,7.0,2025-01-29 23:17:22
202,Shorshe Ilish,45,Street Food,70,143,57.5,41.2,2025-08-13 20:03:19
203,Deluxe Momos,10,Street Food,62,108,70.1,20.4,2026-02-12 06:00:21
204,Village-style Paneer Tikka,127,Local Eatery,163,201,64.9,29.7,2026-05-19 12:54:52
205,Dal Bafla,66,Mid-range Restaurant,248,347,75.7,12.7,2025-11-11 22:53:18
206,Classic Pongal,110,Sweet Shop,54,158,93.2,0,2025-07-12 15:55:58
207,Local Favourite Bisi Bele Bath,2,Mid-range Restaurant,318,482,74.7,13.3,2025-07-23 03:42:14
208,Aloo Paratha,93,Fine Dining,814,1151,68.1,20.3,2025-08-30 13:02:56
209,Deluxe Modak,31,Local Eatery,88,132,71.0,16.0,2026-04-16 11:47:32
210,Kachori,96,Roadside Stall,66,118,83.2,2.7,2026-06-13 10:29:33
211,Kadhi Bafla,21,Street Food,34,51,83.3,2.9,2025-06-07 00:28:31
212,Family Recipe Litti Chokha,138,Roadside Stall,43,67,77.9,10.4,2026-01-15 16:24:49
213,Village-style Kolhapuri Mutton,24,Street Food,78,96,72.3,14.6,2025-02-14 20:17:29
214,Homestyle Kadhi Chawal,119,Street Food,47,131,49.1,39.8,2026-06-29 00:07:13
215,Pitha,17,Street Food,80,92,62.9,18.0,2025-04-16 04:34:37
216,Local Favourite Curd Rice,108,Fine Dining,884,1058,78.0,9.8,2026-02-23 21:17:08
217,Royal Mutton Rogan Josh,35,Roadside Stall,40,117,53.6,55.7,2025-01-03 16:44:48
218,Rava Kesari,6,Roadside Stall,42,120,67.1,15.7,2025-12-24 18:40:39
219,Roadside Litti Chokha,89,Sweet Shop,58,84,82.5,2.8,2025-01-13 03:39:31
220,Special Sabudana Khichdi,62,Street Food,77,93,60.7,15.9,2025-12-07 22:51:35
221,Idiyappam,60,Street Food,37,111,95.1,0,2026-03-24 11:28:30
222,Bebinca,82,Mid-range Restaurant,271,435,85.5,0,2026-02-09 20:49:26
223,Deluxe Mysore Pak,57,Roadside Stall,52,118,79.7,4.3,2026-06-12 04:49:09
224,Signature Idiyappam,110,Mid-range Restaurant,345,623,64.4,22.7,2025-04-26 21:37:04
225,Smoked Pork,77,Fine Dining,746,2495,59.7,41.2,2025-04-23 02:54:41
226,Festival Chole Bhature,119,Fine Dining,1070,2165,54.1,27.5,2025-06-07 22:28:17
227,Fish Tenga,85,Mid-range Restaurant,197,481,79.4,4.6,2025-07-28 12:29:12
228,Special Chole Bhature,97,Roadside Stall,61,113,73.9,13.0,2025-09-16 14:54:16
229,Momos,78,Sweet Shop,60,315,87.6,0,2025-06-08 20:24:04
230,Festival Aloo Paratha,102,Mid-range Restaurant,344,592,73.0,12.4,2025-07-23 03:51:43
231,Signature Nihari,93,Sweet Shop,150,354,83.8,2.0,2025-10-15 22:26:26
232,Street-side Smoked Pork,81,Local Eatery,154,201,41.6,54.9,2026-03-30 15:08:37
233,Authentic Rava Kesari,107,Local Eatery,108,263,83.5,1.8,2026-05-24 10:46:36
234,Sandesh,87,Sweet Shop,155,282,56.3,44.6,2025-05-12 11:20:29
235,Signature Malai Kofta,36,Roadside Stall,56,69,72.7,19.8,2025-02-27 17:37:09
236,Homestyle Chak-hao Kheer,13,Sweet Shop,89,133,78.8,3.8,2026-01-28 19:32:41
237,Axone,117,Sweet Shop,187,320,77.3,4.8,2026-02-18 09:09:35
238,Homestyle Masala Dosa,106,Mid-range Restaurant,424,580,41.8,68.1,2026-06-08 12:53:05
239,Chettinad Chicken,111,Roadside Stall,24,64,57.8,33.5,2025-10-03 07:15:39
240,Local Favourite Bebinca,69,Fine Dining,970,2137,60.7,34.9,2025-08-21 23:55:57
241,Special Poha Jalebi,21,Fine Dining,1065,2049,47.3,23.0,2025-05-14 02:49:17
242,Kadhi Bafla,22,Mid-range Restaurant,198,666,72.8,7.9,2025-06-14 05:05:58
243,Sarson da Saag,122,Sweet Shop,101,389,74.1,7.0,2025-09-02 06:25:10
244,Quick-bite Appam with Stew,5,Sweet Shop,131,180,63.5,27.5,2026-03-17 03:58:39
245,Classic Malai Kofta,100,Sweet Shop,65,115,71.8,23.4,2025-02-11 16:58:26
246,Misal Pav,26,Mid-range Restaurant,353,530,44.0,38.0,2025-12-16 22:51:51
247,Grandma's Aloo Paratha,126,Fine Dining,942,1332,77.9,9.9,2025-03-08 13:27:14
248,Bebinca,76,Street Food,54,83,67.1,27.6,2025-04-30 19:55:46
249,Grandma's Lassi,100,Street Food,59,125,66.2,17.4,2025-04-13 22:06:34
250,Spicy Dhokla,23,Roadside Stall,47,109,51.7,23.6,2026-03-07 11:24:21
251,Khandvi,24,Fine Dining,512,1119,68.5,25.3,2026-03-11 14:31:01
252,Local Favourite Dal Bafla,63,Mid-range Restaurant,304,451,71.5,9.1,2025-12-04 14:57:10
253,Deluxe Misal Pav,71,Street Food,66,108,89.6,0,2026-01-21 02:25:38
254,Royal Rasam,51,Street Food,70,122,83.9,1.2,2025-09-13 23:06:10
255,Pesarattu,113,Sweet Shop,182,226,63.5,28.5,2026-06-25 01:11:16
256,Classic Meen Curry,52,Fine Dining,1491,1827,63.1,31.4,2026-01-17 09:02:22
257,Local Favourite Malpua,63,Fine Dining,873,1116,88.7,0,2026-02-28 19:15:48
258,Festival Litti,47,Sweet Shop,148,399,78.8,7.0,2025-08-15 06:48:26
259,Kosha Mangsho,18,Local Eatery,141,228,60.6,33.9,2025-11-25 15:40:36
260,Rajma Chawal,97,Fine Dining,1096,1926,73.0,20.5,2026-06-22 06:23:16
261,Idiyappam,108,Mid-range Restaurant,424,477,52.2,29.5,2026-06-01 06:47:31
262,Premium Dal Makhani,91,Sweet Shop,203,378,67.9,25.7,2025-12-01 08:16:22
263,Royal Vada Pav,28,Roadside Stall,62,105,73.9,15.8,2025-06-21 16:19:48
264,Local Favourite Curd Rice,115,Sweet Shop,180,366,71.8,13.4,2025-01-20 01:52:51
265,Deluxe Amritsari Kulcha,124,Street Food,34,150,89.4,0,2025-08-31 06:03:26
266,Chef's Chingri Malai Curry,88,Mid-range Restaurant,393,452,69.5,22.3,2025-09-05 16:54:12
267,Sandesh,18,Street Food,22,140,65.5,14.3,2025-05-08 15:46:56
268,Festival Dal Bafla,63,Roadside Stall,42,111,60.1,27.0,2025-05-24 06:25:49
269,Local Favourite Mysore Pak,48,Roadside Stall,27,94,75.1,10.6,2025-06-16 20:05:22
270,Special Bisi Bele Bath,53,Roadside Stall,26,82,64.7,23.3,2025-07-23 18:37:18
271,Classic Nihari,126,Roadside Stall,40,64,65.7,31.2,2026-04-25 12:28:28
272,Kosha Mangsho,45,Roadside Stall,20,116,54.0,23.0,2025-08-26 04:41:45
273,Dhokla,30,Roadside Stall,39,102,75.2,12.6,2025-11-25 14:00:52
274,Meen Curry,48,Sweet Shop,74,368,56.3,27.2,2025-05-26 07:46:13
275,Premium Zan,81,Mid-range Restaurant,154,660,54.2,48.6,2026-03-13 04:38:55
276,Golgappa,130,Fine Dining,1227,2146,71.4,9.5,2025-01-24 23:17:06
277,Street-side Rava Kesari,57,Roadside Stall,33,64,81.4,4.6,2026-01-20 17:18:35
278,Quick-bite Amritsari Kulcha,131,Roadside Stall,67,100,73.3,17.6,2025-12-09 19:40:09
279,Mysore Pak,56,Sweet Shop,93,255,85.4,0,2025-07-24 03:13:51
280,Special Kosha Mangsho,90,Street Food,50,86,82.6,3.1,2025-09-30 08:13:57
281,Premium Chettinad Chicken,110,Local Eatery,164,200,82.3,3.5,2026-02-18 10:25:59
282,Festival Khandvi,72,Sweet Shop,104,262,74.4,18.5,2026-02-04 13:23:25
283,Dhokla,25,Mid-range Restaurant,214,583,85.0,0,2025-09-08 04:19:04
284,Signature Chila,64,Sweet Shop,98,320,66.9,12.5,2025-03-14 07:24:45
285,Naga Chutney,104,Mid-range Restaurant,382,641,64.8,12.2,2025-03-14 08:17:10
286,Fish Tenga,118,Roadside Stall,40,77,91.7,0,2026-01-20 06:09:18
287,Deluxe Puran Poli,69,Roadside Stall,23,105,84.4,0.9,2026-06-15 03:41:24
288,Momos,13,Fine Dining,516,780,88.6,0,2025-12-21 14:06:53
289,Mysore Pak,1,Local Eatery,172,265,63.6,35.3,2025-08-01 20:05:34
290,Grandma's Modak,24,Mid-range Restaurant,234,270,67.8,16.6,2026-06-28 06:31:55
291,Mysore Pak,60,Street Food,47,118,49.5,46.6,2026-02-08 11:08:33
292,Masala Dosa,114,Street Food,74,100,71.0,12.2,2025-03-11 09:15:07
293,Classic Pav Bhaji,27,Mid-range Restaurant,220,425,81.1,5.9,2025-04-14 10:01:32
294,Village-style Rajma Chawal,37,Roadside Stall,56,76,69.5,22.7,2026-05-03 20:15:37
