souvenir_id,item_name,state_id,price_min_inr,price_max_inr,trust_score,scam_markup_pct,timestamp
50,Classic Keychain Set,4,567,792,79.4,7.1,2025-05-11 20:32:33
51,Traditional Handwoven Bag,1,744,1341,96.3,0,2026-04-04 11:25:44
52,Keychain Set,18,176,1056,83.0,2.2,2025-08-29 22:01:15
53,Extra Cheesy Keychain Set,8,535,710,44.5,67.1,2025-03-07 20:46:08
54,Homestyle Applique Work,19,429,3102,47.2,61.3,2026-02-23 11:57:22
55,Postcard Set,4,139,1790,63.8,20.5,2026-01-24 09:02:28
56,Applique Work,19,645,1534,62.5,37.2,2026-03-05 04:09:09
57,Festival Marble Taj Replica,26,282,1846,54.4,32.2,2026-06-30 21:37:23
58,Fridge Magnet,27,305,1940,52.0,39.9,2025-03-11 00:13:36
59,Royal Silver Filigree,19,512,2143,76.2,12.3,2026-02-15 19:07:47
60,Handwoven Bag,17,133,2231,79.3,10.1,2026-01-04 14:07:06
61,Grandma's Brassware,26,326,1941,71.5,19.4,2025-11-15 01:26:21
62,Khasi Shawl,16,368,2971,89.2,0,2026-01-31 03:20:05
63,Prayer Wheel,22,388,2550,82.4,1.7,2025-05-05 14:18:43
64,Bagh Print Fabric,13,768,2599,89.8,0,2026-04-01 02:51:27
65,Street-side Fridge Magnet,2,714,2285,66.4,14.0,2025-07-02 15:14:59
66,Meenakari Jewelry,21,155,1983,59.2,32.2,2025-04-15 17:41:10
67,Bagh Print Fabric,13,260,2272,84.2,1.1,2025-01-31 11:34:15
68,Bandhani Dupatta,21,127,2501,65.6,12.4,2025-03-07 13:07:12
69,Handwoven Bag,4,567,1942,58.2,35.2,2025-01-03 14:35:55
70,Camel Leather Jutti,21,444,1829,75.7,9.2,2026-01-23 15:45:14
71,Assam Tea Gift Box,3,62,2759,64.0,31.4,2026-03-19 00:19:21
72,Extra Cheesy Azulejo Tile,6,53,1206,67.7,12.6,2025-07-04 18:42:00
73,Grandma's Keychain Set,24,343,541,64.2,19.2,2026-06-09 04:07:53
74,Postcard Set,15,134,2749,44.1,55.6,2025-07-04 18:18:05
75,Applique Work,19,232,1843,77.0,8.3,2025-06-26 08:21:27
76,Classic Local Handicraft Figurine,1,324,630,90.7,0,2025-02-23 21:08:35
77,Keychain Set,4,620,1451,87.9,0,2026-06-22 14:42:18
78,Chef's Thangka Painting,22,519,1419,75.6,13.2,2025-10-22 09:35:25
79,Premium Mirror Work Bag,7,496,2424,82.9,3.5,2026-04-11 13:08:22
80,Special Postcard Set,18,302,1721,87.8,0,2025-01-29 14:52:24
81,Fridge Magnet,17,461,1888,92.9,0,2025-10-17 05:51:08
82,Deluxe Marble Taj Replica,26,356,2311,58.5,21.6,2026-02-01 12:39:23
83,Seashell Craft,6,278,2726,66.7,26.6,2026-04-07 18:46:59
84,Mysore Silk Saree,11,434,1464,77.9,8.3,2025-12-07 17:25:12
85,Quick-bite Patola Saree,7,126,1088,58.0,36.0,2026-02-23 23:16:40
86,Deluxe Cashew Feni Bottle,6,318,1234,95.8,0,2025-03-24 18:12:18
87,Classic Terracotta Figurine,28,789,1004,77.7,4.8,2025-04-03 15:37:24
88,Chikankari Kurta,26,113,443,83.5,1.9,2025-12-30 04:52:36
89,Applique Work,19,226,2261,68.5,20.6,2025-05-23 00:36:51
90,Assam Tea Gift Box,3,216,1391,76.7,10.9,2025-12-06 14:55:58
91,Local Favourite Postcard Set,18,348,2752,63.1,23.8,2025-11-15 23:29:09
92,Assam Tea Gift Box,3,248,352,53.2,28.0,2025-11-04 14:25:32
93,Local Favourite Keychain Set,15,541,3409,63.1,31.3,2026-01-19 15:08:13
94,Fridge Magnet,18,412,2564,84.2,1.2,2026-04-19 05:15:47
95,Spicy Postcard Set,17,431,3042,67.4,26.2,2025-12-20 22:24:59
96,Kangra Miniature Painting,9,788,1450,71.9,21.5,2026-06-19 05:41:43
97,Handwoven Carpet,22,639,1653,62.9,21.2,2026-06-13 02:48:21
98,Street-side Dokra Art,28,425,2054,62.5,26.4,2025-08-28 22:03:20
99,Local Favourite Keychain Set,2,621,787,50.6,24.1,2026-06-12 21:21:45
100,Village-style Puppet (Kathputli),21,593,1158,45.4,29.7,2025-01-03 15:24:25
101,Deluxe Keychain Set,8,231,2531,83.6,2.5,2026-02-01 22:20:19
102,Traditional Handwoven Bag,10,269,2775,72.6,17.8,2025-02-02 12:14:23
103,Kangra Miniature Painting,9,370,462,81.2,5.2,2025-12-29 08:50:00
104,Silver Filigree,19,509,3469,68.9,20.8,2026-01-25 22:35:11
105,Spicy Fridge Magnet,8,643,1030,68.1,16.8,2026-06-05 19:08:10
106,Silver Filigree,19,149,2939,75.4,12.2,2026-02-06 00:24:00
107,Signature Kanchipuram Silk Saree,23,747,3487,73.7,17.3,2025-09-23 15:03:08
108,Grandma's Keychain Set,5,420,1833,55.8,43.3,2026-03-07 01:22:41
109,Village-style Coir Handicraft,12,340,2993,81.5,4.2,2026-02-15 06:57:21
110,Street-side Channapatna Toy,11,697,3635,72.3,11.4,2026-02-26 14:19:12
111,Spicy Gond Art Painting,13,648,3291,72.9,8.7,2025-11-30 01:01:37
112,Royal Khasi Shawl,16,540,1502,42.7,73.5,2026-06-02 20:51:03
113,Spicy Fridge Magnet,15,103,2419,82.1,3.9,2026-03-31 15:30:49
114,Signature Postcard Set,2,158,2992,51.5,53.1,2025-01-18 09:10:15
115,Royal Keychain Set,10,333,1026,79.2,8.5,2025-04-20 14:55:42
116,Cashew Feni Bottle,6,472,762,51.5,29.6,2026-06-29 06:29:02
117,Classic Fridge Magnet,2,162,3090,89.3,0,2025-10-24 05:07:47
118,Mirror Work Bag,7,674,1438,59.6,16.0,2026-03-01 00:23:08
119,Local Handicraft Figurine,27,648,1783,65.5,14.6,2025-01-06 18:36:03
120,Premium Silver Filigree,19,449,550,79.5,5.1,2026-04-28 10:42:31
121,Gond Art Painting,13,503,3254,65.6,13.5,2026-05-17 09:50:39
122,Premium Prayer Wheel,22,524,2974,43.0,58.7,2025-12-16 23:35:21
123,Local Handicraft Figurine,2,643,919,69.3,16.1,2026-01-15 09:52:00
124,Fridge Magnet,18,276,1039,38.8,40.8,2025-06-08 23:28:14
125,Royal Paithani Saree,14,377,2578,56.0,35.3,2025-04-17 04:03:42
126,Premium Phulkari Dupatta,20,566,3356,53.9,52.9,2025-12-16 17:49:16
127,Signature Handwoven Carpet,22,213,666,58.8,34.9,2025-02-17 16:50:46
128,Special Handwoven Bag,5,447,1698,52.0,41.7,2025-11-25 21:49:28
129,Village-style Spice Box Set,12,374,2928,72.4,11.7,2025-02-09 02:39:45
130,Premium Handwoven Bag,18,268,2664,87.3,0,2025-02-09 08:42:22
131,Extra Cheesy Brassware,26,164,2296,96.4,0,2025-03-05 02:11:43
132,Local Handicraft Figurine,1,630,932,76.4,13.0,2025-11-30 12:40:45
133,Deluxe Postcard Set,8,650,1788,70.9,20.8,2026-02-17 04:46:40
134,Village-style Bandhani Fabric,7,379,2094,70.3,16.6,2025-09-17 05:20:56
135,Extra Cheesy Thangka Painting,22,462,2278,58.0,35.7,2025-02-04 15:33:57
136,Authentic Puppet (Kathputli),21,666,3361,48.8,26.9,2026-06-27 14:46:41
137,Festival Handwoven Bag,5,695,1016,65.0,32.0,2025-09-06 12:43:56
138,Traditional Handwoven Bag,8,670,2143,36.3,85.9,2025-03-30 22:23:57
139,Terracotta Figurine,28,466,2607,39.4,50.7,2025-02-10 18:51:48
140,Festival Terracotta Figurine,28,462,2384,68.1,12.4,2026-03-07 22:49:22
141,Authentic Bronze Nataraja Statue,23,136,1174,55.0,52.7,2025-03-18 21:31:56
142,Local Favourite Postcard Set,24,569,1493,56.4,28.8,2025-10-01 17:19:11
143,Extra Cheesy Brassware,26,242,1381,69.4,26.6,2026-03-16 15:38:06
144,Traditional Bandhani Fabric,7,422,564,74.6,16.7,2026-03-26 22:52:47
145,Special Bamboo Basket,16,59,2953,52.2,46.1,2026-01-31 07:46:27
146,Handwoven Bag,17,764,2816,71.5,8.3,2025-11-25 03:26:31
147,Village-style Chikankari Kurta,26,280,988,70.5,9.0,2025-07-06 09:33:21
148,Keychain Set,24,669,1355,55.3,20.7,2025-05-28 06:51:25
149,Royal Local Handicraft Figurine,1,394,2259,51.0,22.7,2025-02-10 04:31:04
150,Pattachitra Painting,19,615,1245,76.5,6.0,2026-05-13 11:10:00
151,Chef's Pahari Cap,9,123,2162,84.1,0.6,2025-08-05 19:47:39
152,Local Favourite Local Handicraft Figurine,18,796,3693,54.6,41.3,2025-03-30 15:14:10
153,Authentic Spice Box Set,12,286,1023,56.9,21.6,2025-08-19 21:06:39
154,Signature Keychain Set,5,594,2526,61.6,37.6,2025-07-09 21:49:53
155,Fridge Magnet,18,111,2257,68.0,30.2,2026-05-15 03:34:44
156,Quick-bite Dokra Art,28,359,2273,92.7,0,2025-09-16 16:04:29
157,Postcard Set,24,169,2155,86.0,0,2026-06-07 02:43:08
158,Fridge Magnet,4,561,2017,66.0,21.8,2025-06-05 13:21:02
159,Chanderi Saree,13,424,2544,57.5,26.4,2025-04-09 11:00:03
160,Village-style Handwoven Carpet,22,469,1530,90.1,0,2026-04-20 16:24:10
161,Local Handicraft Figurine,4,122,1301,54.5,49.4,2025-06-23 23:06:48
162,Channapatna Toy,11,466,3449,48.6,30.7,2025-09-09 11:11:15
163,Postcard Set,10,636,1544,47.1,22.8,2026-01-24 01:52:35
164,Royal Puppet (Kathputli),21,619,3328,67.2,30.4,2025-11-27 04:01:48
165,Local Handicraft Figurine,25,55,2973,76.8,13.4,2026-06-24 21:30:24
166,Fridge Magnet,8,350,1485,60.7,16.7,2026-02-11 03:34:34
167,Signature Handwoven Carpet,22,436,3320,73.6,18.2,2025-12-14 08:01:19
168,Handwoven Bag,8,75,1613,66.2,25.5,2025-07-10 22:59:52
169,Roadside Sandalwood Carving,11,234,1036,76.8,11.1,2026-04-16 02:57:08
170,Spicy Tanjore Painting,23,714,1616,64.9,13.0,2026-06-12 19:58:48
171,Festival Keychain Set,27,234,1544,82.2,2.3,2025-12-04 13:02:37
172,Keychain Set,17,448,974,71.5,21.4,2025-02-06 06:55:08
173,Paithani Saree,14,310,2033,64.0,32.8,2026-02-15 02:06:39
174,Village-style Pahari Cap,9,754,1734,71.1,16.4,2025-11-26 04:53:55
175,Keychain Set,25,772,2048,74.5,13.9,2025-08-07 03:03:30
176,Deluxe Handwoven Bag,27,484,725,51.1,49.2,2025-12-04 22:03:52
177,Kanchipuram Silk Saree,23,334,647,75.7,14.7,2025-03-07 21:55:13
178,Keychain Set,10,339,493,69.2,19.7,2025-08-01 20:07:13
179,Village-style Kanchipuram Silk Saree,23,750,1104,84.8,0.3,2026-06-07 06:00:47
180,Chanderi Saree,13,602,978,69.5,13.3,2025-01-29 08:05:30
181,Authentic Keychain Set,4,575,1568,77.1,9.3,2025-06-26 09:03:51
182,Local Handicraft Figurine,2,626,1836,90.4,0,2026-02-01 14:59:10
183,Homestyle Kantha Stitch Saree,28,760,3427,85.4,0,2025-03-05 17:19:19
184,Classic Khasi Shawl,16,213,3025,63.7,22.9,2025-09-03 03:54:07
185,Special Sandalwood Carving,11,432,2802,86.2,0,2026-06-15 22:38:21
186,Fridge Magnet,27,396,672,94.0,0,2026-03-23 06:07:57
187,Paithani Saree,14,98,2913,51.9,59.0,2025-09-24 06:13:24
188,Handwoven Carpet,22,438,1030,72.9,20.9,2025-06-29 21:31:17
189,Fridge Magnet,15,414,1579,63.3,14.8,2025-05-16 09:10:39
190,Royal Handwoven Carpet,22,204,1216,70.7,9.7,2026-04-27 19:42:54
191,Family Recipe Handwoven Bag,27,296,700,78.1,7.4,2026-03-14 03:01:02
192,Special Handwoven Bag,18,582,1574,75.1,6.0,2025-05-27 10:00:45
193,Gond Art Painting,13,330,2155,55.0,26.3,2025-07-29 00:58:05
194,Fridge Magnet,1,314,1904,77.8,12.6,2026-05-15 07:34:16
195,Handwoven Bag,18,252,2949,63.4,33.6,2026-05-13 01:17:49
196,Bandhani Fabric,7,286,2199,61.3,38.0,2026-02-25 11:00:08
197,Spicy Camel Leather Jutti,21,769,3337,76.4,10.5,2025-09-08 13:58:50
198,Extra Cheesy Fridge Magnet,1,364,1832,63.5,22.5,2025-02-21 02:46:27
199,Fridge Magnet,27,717,1251,79.6,5.1,2025-06-27 04:40:51
200,Local Favourite Tanjore Painting,23,231,583,57.2,18.9,2025-08-16 15:43:38
201,Kanchipuram Silk Saree,23,643,3458,58.1,47.7,2026-01-30 22:48:14
202,Spicy Keychain Set,1,225,289,75.2,12.4,2025-02-02 18:22:48
203,Local Handicraft Figurine,25,127,1734,79.7,6.9,2026-06-02 14:32:34
204,Special Azulejo Tile,6,136,2684,75.0,17.7,2026-01-14 11:15:01
205,Festival Fridge Magnet,8,276,523,75.7,13.5,2025-10-05 23:56:52
206,Fridge Magnet,25,467,1676,65.3,29.7,2025-04-22 01:48:27
207,Fridge Magnet,27,756,1293,64.8,27.2,2025-06-04 22:41:54
208,Local Handicraft Figurine,1,563,2740,72.0,8.6,2025-04-24 05:41:16
209,Prayer Wheel,22,436,705,74.9,8.1,2025-04-26 00:07:26
210,Extra Cheesy Postcard Set,24,293,2930,78.8,7.6,2026-03-07 04:34:34
211,Authentic Thangka Painting,22,692,1222,82.7,1.6,2025-03-27 18:42:05
212,Cashew Feni Bottle,6,502,1812,90.2,0,2026-05-05 18:16:43
213,Assam Tea Gift Box,3,508,2563,90.3,0,2025-06-10 09:37:33
214,Street-side Bronze Nataraja Statue,23,787,3619,69.9,17.7,2025-02-03 16:56:49
215,Festival Local Handicraft Figurine,15,521,2894,80.5,7.4,2025-12-16 12:13:55
216,Signature Khasi Shawl,16,734,1342,60.4,42.3,2025-02-18 19:05:55
217,Classic Coir Handicraft,12,793,3448,80.1,7.3,2026-03-26 09:06:23
218,Classic Postcard Set,10,225,757,76.8,13.5,2025-01-25 09:22:39
219,Authentic Marble Taj Replica,26,395,2673,87.1,0,2025-02-21 16:50:20
220,Homestyle Local Handicraft Figurine,4,89,1934,77.5,8.8,2025-08-12 18:31:27
221,Channapatna Toy,11,645,3523,85.5,0,2025-03-13 10:06:06
222,Street-side Handwoven Bag,4,50,156,86.3,0,2026-05-06 22:09:56
223,Spicy Gond Art Painting,13,441,1065,55.1,35.8,2025-11-12 14:11:59
224,Gond Art Painting,13,158,1534,75.4,12.2,2026-04-21 23:58:01
225,Muga Silk Stole,3,135,1962,84.2,1.2,2025-04-01 09:16:45
226,Handwoven Bag,8,345,3121,80.3,4.4,2025-11-09 22:03:18
227,Chikankari Kurta,26,561,2896,81.5,2.8,2025-06-27 19:48:27
228,Handwoven Bag,24,143,1668,53.4,34.8,2026-04-17 12:06:46
229,Festival Fridge Magnet,1,612,965,79.8,5.3,2025-07-17 14:05:12
230,Authentic Fridge Magnet,27,354,1741,74.9,18.0,2026-05-11 09:20:01
231,Signature Local Handicraft Figurine,15,721,2033,40.5,57.6,2026-01-06 20:39:15
232,Handwoven Carpet,22,745,1094,78.0,5.1,2025-06-07 17:14:34
233,Kolhapuri Chappal,14,311,2582,81.5,3.8,2025-02-01 06:08:46
234,Royal Brassware,26,272,2890,60.5,38.5,2026-04-09 21:59:28
235,Bronze Nataraja Statue,23,345,1665,79.7,8.0,2025-11-09 20:30:21
236,Local Favourite Handwoven Bag,24,475,1694,50.5,56.4,2025-09-24 16:12:04
237,Street-side Juti Footwear,20,468,3038,93.8,0,2025-12-16 06:29:14
238,Extra Cheesy Juti Footwear,20,688,807,65.9,13.3,2026-06-17 02:49:02
239,Postcard Set,8,611,1131,56.9,45.4,2025-05-21 07:46:10
240,Paithani Saree,14,545,1014,94.7,0,2025-02-10 02:17:42
241,Street-side Local Handicraft Figurine,2,196,1142,65.5,24.9,2025-05-31 06:05:40
242,Authentic Spice Box Set,12,207,525,94.6,0,2025-06-07 03:46:30
243,Spicy Phulkari Dupatta,20,658,3358,75.0,16.5,2026-01-11 23:05:51
244,Khasi Shawl,16,286,2825,81.0,4.0,2026-05-11 14:38:28
245,Deluxe Postcard Set,5,548,2577,58.8,32.1,2026-03-27 18:38:45
246,Aranmula Kannadi Mirror,12,711,2490,81.7,3.6,2026-04-04 16:23:09
247,Keychain Set,4,518,1426,49.3,42.5,2025-03-31 05:59:07
248,Special Pattachitra Painting,19,161,2092,80.8,3.2,2025-11-03 11:57:12
249,Local Handicraft Figurine,27,209,2903,60.3,20.8,2026-06-16 21:00:25
250,Bronze Nataraja Statue,23,226,303,58.7,36.5,2025-12-31 19:05:25
251,Quick-bite Bamboo Basket,16,436,3240,76.7,8.2,2025-04-13 22:48:33
252,Grandma's Fridge Magnet,18,553,1640,78.6,10.8,2026-01-23 14:11:34
253,Street-side Terracotta Figurine,28,637,2138,59.5,20.3,2025-04-21 04:18:05
254,Khasi Shawl,16,762,1329,69.2,19.6,2026-06-13 13:24:15
255,Traditional Chanderi Saree,13,469,2074,81.2,5.8,2025-11-17 10:54:50
256,Grandma's Handwoven Bag,17,705,1261,77.2,11.6,2025-12-07 00:36:01
257,Khasi Shawl,16,410,1438,78.2,11.6,2026-06-20 03:33:24
258,Local Handicraft Figurine,8,669,1395,78.7,8.6,2025-05-26 10:04:36
259,Village-style Juti Footwear,20,549,1936,76.7,10.4,2025-11-14 11:54:37
260,Camel Leather Jutti,21,544,699,51.4,58.2,2025-06-03 15:54:43
261,Extra Cheesy Bagh Print Fabric,13,104,2277,43.9,53.5,2025-08-26 02:19:29
262,Festival Local Handicraft Figurine,27,754,1616,55.8,45.2,2025-06-30 20:20:44
263,Spicy Kathakali Mask,12,368,2986,80.5,3.2,2026-05-29 15:41:05
264,Fridge Magnet,17,56,1337,56.5,39.8,2026-02-12 16:14:02
265,Patola Saree,7,223,1712,68.9,18.1,2025-07-16 11:17:07
266,Kanchipuram Silk Saree,23,187,2347,77.5,7.9,2026-05-17 13:25:51
267,Grandma's Coir Handicraft,12,420,2047,50.2,26.1,2025-08-10 10:54:19
268,Local Handicraft Figurine,24,440,2088,81.2,4.8,2026-02-01 23:42:32
269,Royal Pattachitra Painting,19,529,2212,81.8,5.5,2025-10-30 05:07:10
270,Kullu Shawl,9,260,977,73.8,16.8,2025-11-26 16:22:25
271,Spicy Seashell Craft,6,717,3346,54.3,54.5,2025-08-29 13:18:07
272,Fridge Magnet,2,382,686,87.6,0,2025-04-18 05:11:33
273,Spicy Bagh Print Fabric,13,175,2276,49.8,49.5,2025-06-28 22:17:33
274,Village-style Prayer Wheel,22,439,1529,89.8,0,2026-01-20 09:30:31
275,Fridge Magnet,4,328,1369,88.0,0,2026-06-15 15:48:00
276,Handwoven Bag,18,757,1390,58.7,34.5,2026-03-31 01:01:09
277,Handwoven Bag,18,151,488,67.1,21.3,2026-04-01 06:51:34
278,Local Handicraft Figurine,5,762,3213,51.4,52.5,2025-05-25 08:20:29
279,Festival Juti Footwear,20,578,1457,61.7,21.7,2025-08-28 03:01:25
280,Muga Silk Stole,3,392,1478,63.4,27.4,2025-07-05 13:16:06
281,Homestyle Postcard Set,27,55,1337,71.0,20.4,2025-01-31 21:39:36
282,Special Local Handicraft Figurine,27,554,3447,89.2,0,2026-05-01 05:43:49
283,Handwoven Bag,18,785,2637,74.4,12.7,2025-07-11 05:45:50
284,Chef's Fridge Magnet,5,484,541,60.3,20.1,2025-03-03 08:28:45
285,Deluxe Keychain Set,18,738,2961,82.4,4.5,2025-01-17 23:13:25
286,Mysore Silk Saree,11,207,2795,86.0,0,2025-10-12 14:10:09
287,Bamboo Basket,16,475,1214,76.7,11.1,2026-06-08 21:08:39
288,Roadside Azulejo Tile,6,754,2344,67.0,15.3,2025-12-31 03:08:40
289,Royal Cashew Feni Bottle,6,334,610,88.7,0,2025-01-31 08:14:08
290,Local Handicraft Figurine,25,302,1294,78.8,7.5,2025-08-13 16:10:16
291,Handwoven Bag,27,487,697,86.6,0,2025-01-15 06:46:38
292,Applique Work,19,774,1439,66.2,16.2,2026-05-20 00:10:16
293,Bamboo Basket,16,294,2964,44.3,67.4,2025-06-19 02:02:06
294,Keychain Set,25,373,2430,64.7,21.7,2026-01-10 16:11:14
295,Postcard Set,2,542,810,82.4,2.2,2026-04-09 03:28:27
296,Handwoven Bag,24,318,1151,68.1,15.6,2025-01-16 10:56:16
297,Keychain Set,15,291,1865,90.6,0,2025-09-02 01:19:15
298,Brassware,26,94,2279,53.5,22.6,2025-04-27 03:46:36
299,Chef's Phulkari Dupatta,20,51,2150,71.8,19.8,2026-02-03 09:40:34
300,Street-side Chikankari Kurta,26,494,2693,68.2,28.5,2025-08-16 06:03:52
301,Kanchipuram Silk Saree,23,776,3343,78.1,9.8,2026-02-19 16:40:31
302,Homestyle Fridge Magnet,8,94,476,64.3,32.8,2025-03-18 06:01:55
303,Local Handicraft Figurine,2,62,128,72.6,16.1,2025-11-14 03:11:56
304,Warli Painting,14,643,1175,59.0,36.2,2025-09-02 22:30:00
305,Grandma's Handwoven Bag,24,293,1336,64.6,34.3,2025-05-30 09:23:42
306,Muga Silk Stole,3,123,1289,77.4,6.1,2025-05-19 08:40:03
307,Postcard Set,27,742,1135,76.6,12.4,2026-02-20 06:42:32
308,Fridge Magnet,17,79,707,75.3,14.8,2025-09-29 20:38:26
309,Handwoven Bag,15,421,2953,54.0,47.5,2025-03-21 22:24:24
310,Spicy Handwoven Bag,15,748,2784,67.9,13.3,2025-09-19 23:30:32
311,Local Handicraft Figurine,2,465,1866,45.6,58.3,2025-10-16 15:53:35
312,Local Favourite Brassware,26,419,2543,42.0,60.3,2026-06-26 21:09:32
313,Bronze Nataraja Statue,23,620,2005,68.2,20.1,2025-03-04 19:47:34
314,Local Favourite Local Handicraft Figurine,18,460,2436,76.6,12.4,2025-06-10 11:51:38
315,Homestyle Paithani Saree,14,374,3117,82.4,2.6,2026-04-07 01:58:02
316,Deluxe Local Handicraft Figurine,4,221,682,79.6,6.9,2026-05-06 02:55:50
317,Traditional Camel Leather Jutti,21,388,2001,90.1,0,2025-08-22 08:59:18
318,Cashew Feni Bottle,6,197,1877,52.4,32.5,2025-06-26 21:48:54
319,Tanjore Painting,23,112,615,80.8,7.1,2025-02-20 03:56:35
320,Keychain Set,5,55,2156,51.0,40.5,2026-03-02 10:56:24
321,Quick-bite Prayer Wheel,22,731,3268,54.9,29.7,2026-05-04 13:20:30
322,Authentic Khasi Shawl,16,285,1202,69.1,19.7,2025-01-07 23:51:06
323,Royal Fridge Magnet,24,356,1946,71.7,12.9,2025-06-16 06:19:33
324,Extra Cheesy Local Handicraft Figurine,8,791,1316,63.9,16.9,2025-02-13 15:02:29
325,Fridge Magnet,24,694,3274,43.2,27.8,2025-12-02 15:01:53
326,Premium Postcard Set,18,136,3080,80.3,5.2,2025-12-30 11:38:01
327,Extra Cheesy Patola Saree,7,85,1930,83.3,1.3,2026-04-02 17:40:33
328,Keychain Set,5,696,1810,87.8,0,2025-02-15 13:21:13
329,Postcard Set,15,554,1586,93.6,0,2025-11-14 11:33:27
330,Spicy Khasi Shawl,16,82,1622,72.8,13.2,2026-03-10 22:03:43
331,Fridge Magnet,15,85,2123,53.8,23.1,2025-11-27 00:56:13
332,Handwoven Bag,8,59,1743,71.9,12.3,2026-01-10 03:42:16
333,Keychain Set,15,253,1556,36.2,34.0,2026-06-22 19:37:43
334,Quick-bite Handwoven Bag,18,117,764,71.2,13.9,2025-06-25 07:20:41
335,Cashew Feni Bottle,6,371,1562,78.5,5.4,2025-11-16 20:01:12
336,Kanchipuram Silk Saree,23,145,599,63.2,13.5,2026-04-12 20:54:21
337,Authentic Bamboo Basket,16,93,2225,78.4,5.4,2025-02-14 01:29:39
338,Seashell Craft,6,597,1389,62.7,33.7,2026-05-11 20:03:45
